date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2037-01-01,3.32976,0.12147,0.08519,0.81319,2.16299,0.04916,0.31647,1.30464,2.84037,0.00335,0.16871,5.435,0.00724,0.53608,0.35669,4.91423,0.47211,0.09616,5.33345,4.12221,61.21413,0.64136,0.01048,0.38339,7.3692,1.58183,8.7179,0.00131,1.90492,0.81635,18.04589,58.89999,0.03538,0.00948,0.00592,1.48908
2037-01-02,3.31256,0.07545,0.08256,0,1.8598,0.03306,0.00901,1.21149,2.77041,0.00335,0.01755,5.3485,0.00688,0.48337,0.20386,1.92903,0.34504,0.09561,2.32725,0.41955,18.65245,0.47259,0.00942,0.0576,3.53477,0.79646,1.51503,0.00106,0.08522,0.78124,4.65717,10.51553,0.01448,0.00911,0.00577,0.92838
2037-01-03,3.3372,0.07443,0.08201,0,1.81515,0.03276,0.00884,1.1799,2.70463,0.00334,0.01761,5.30409,0.00674,0.47985,0.20873,1.67608,0.33576,0.09506,2.34336,0.42047,18.56953,0.45988,0.00925,0.05981,3.5394,0.84487,1.464,0.00106,0.08949,0.78141,4.75955,10.80996,0.01462,0.00882,0.00562,0.91747
2037-01-04,3.40158,0.07345,0.08135,0,1.78204,0.03248,0.00863,1.16203,2.64316,0.00334,0.01767,5.30108,0.0066,0.4765,0.21019,1.48142,0.32746,0.09454,2.35182,0.42125,18.44939,0.44848,0.00909,0.06129,3.53574,0.88025,1.41946,0.00106,0.09297,0.78155,4.78639,10.93378,0.01474,0.00855,0.00546,0.90857
2037-01-05,3.43334,0.07247,0.08057,0,1.74779,0.03219,0.00842,1.14065,2.58461,0.00334,0.01773,5.27038,0.00647,0.47289,0.20865,1.31153,0.31906,0.09401,2.35218,0.42189,18.27877,0.43691,0.00893,0.06217,3.52305,0.90231,1.37514,0.00106,0.09567,0.78165,4.76017,10.926,0.01483,0.00829,0.00532,0.89621
2037-01-06,3.48822,0.07146,0.07972,0,1.71269,0.03194,0.00822,1.11872,2.52828,0.00333,0.01779,5.26627,0.00635,0.46908,0.20481,1.15643,0.31016,0.09347,2.34498,0.42242,18.05515,0.42469,0.00878,0.06258,3.50185,0.91297,1.32809,0.00106,0.09771,0.7817,4.69858,10.8241,0.0149,0.00805,0.00517,0.88095
2037-01-07,3.4611,0.07046,0.07881,0,1.67895,0.03164,0.00803,1.10051,2.47418,0.00333,0.01785,5.29553,0.00622,0.46536,0.19934,1.01653,0.3014,0.09295,2.33123,0.42281,17.80211,0.41269,0.00863,0.06261,3.47318,0.91639,1.28109,0.00106,0.09922,0.78173,4.62587,10.65778,0.01494,0.00783,0.00501,0.86646
2037-01-08,3.47471,0.06948,0.07803,0,1.6466,0.03137,0.00784,1.09023,2.46221,0.00333,0.01791,5.50965,0.00613,0.46406,0.19286,0.89407,0.293,0.09251,2.31198,0.42312,17.53245,0.40117,0.0085,0.06236,3.43826,0.91446,1.23628,0.00106,0.10031,0.78173,4.55853,10.45047,0.01496,0.00762,0.00486,0.85569
2037-01-09,3.65006,0.07048,0.07732,0.04483,1.65299,0.03307,0.03917,1.10401,2.89725,0.00333,0.02053,5.4979,0.00605,0.46718,0.19525,0.90511,0.28716,0.09201,2.4291,0.42575,18.58441,0.39382,0.00874,0.06708,3.58325,0.919,1.43964,0.00953,0.10266,1.44177,4.96628,11.60303,0.01522,0.01022,0.00479,0.88089
2037-01-10,3.45384,0.0677,0.07658,2.5e-4,1.58511,0.03083,0.01589,1.06803,2.33347,0.00332,0.02181,5.04534,0.00589,0.46777,0.1789,0.86673,0.27842,0.09224,2.26391,0.42711,18.13772,0.38119,0.00823,0.06506,3.35906,0.90296,1.18777,0.00109,0.13767,0.78164,5.52186,13.46834,0.01565,0.00723,0.00459,0.84549
