date,reservoir,flow
1966-01-01,Bryan_Utilities,1.7171
1966-01-02,Bryan_Utilities,1.7243
1966-01-03,Bryan_Utilities,1.7078
1966-01-04,Bryan_Utilities,1.958
1966-01-05,Bryan_Utilities,3.9179
1966-01-06,Bryan_Utilities,28.1426
1966-01-07,Bryan_Utilities,5.4476
1966-01-08,Bryan_Utilities,1.8109
1966-01-09,Bryan_Utilities,1.7336
1966-01-10,Bryan_Utilities,1.7697
1966-01-11,Bryan_Utilities,2.6118
1966-01-12,Bryan_Utilities,1.9861
1966-01-13,Bryan_Utilities,2.319
1966-01-14,Bryan_Utilities,10.1814
1966-01-15,Bryan_Utilities,12.5314
1966-01-16,Bryan_Utilities,50.5239
1966-01-17,Bryan_Utilities,6.1649
1966-01-18,Bryan_Utilities,2.6824
1966-01-19,Bryan_Utilities,2.738
1966-01-20,Bryan_Utilities,7.3015
1966-01-21,Bryan_Utilities,2.7809
1966-01-22,Bryan_Utilities,3.0684
1966-01-23,Bryan_Utilities,2.6892
1966-01-24,Bryan_Utilities,2.6571
1966-01-25,Bryan_Utilities,2.6298
1966-01-26,Bryan_Utilities,2.7153
1966-01-27,Bryan_Utilities,2.9356
1966-01-28,Bryan_Utilities,11.4737
1966-01-29,Bryan_Utilities,10.5623
1966-01-30,Bryan_Utilities,6.5285
1966-01-31,Bryan_Utilities,4.788
1966-02-01,Bryan_Utilities,55.2621
1966-02-02,Bryan_Utilities,5.2861
1966-02-03,Bryan_Utilities,5.6249
1966-02-04,Bryan_Utilities,9.5915
1966-02-05,Bryan_Utilities,6.0896
1966-02-06,Bryan_Utilities,5.9522
1966-02-07,Bryan_Utilities,6.3574
1966-02-08,Bryan_Utilities,11.2876
1966-02-09,Bryan_Utilities,23.7317
1966-02-10,Bryan_Utilities,8.9778
1966-02-11,Bryan_Utilities,9.1872
1966-02-12,Bryan_Utilities,11.5903
1966-02-13,Bryan_Utilities,19.7501
1966-02-14,Bryan_Utilities,16.6366
1966-02-15,Bryan_Utilities,12.8219
1966-02-16,Bryan_Utilities,67.7056
1966-02-17,Bryan_Utilities,147.6431
1966-02-18,Bryan_Utilities,55.5078
1966-02-19,Bryan_Utilities,62.5093
1966-02-20,Bryan_Utilities,77.9108
1966-02-21,Bryan_Utilities,44.5765
1966-02-22,Bryan_Utilities,33.591
1966-02-23,Bryan_Utilities,26.5475
1966-02-24,Bryan_Utilities,22.0917
1966-02-25,Bryan_Utilities,18.8269
1966-02-26,Bryan_Utilities,16.0723
1966-02-27,Bryan_Utilities,13.8325
1966-02-28,Bryan_Utilities,12.6802
1966-03-01,Bryan_Utilities,39.9742
1966-03-02,Bryan_Utilities,28.0567
1966-03-03,Bryan_Utilities,17.9478
1966-03-04,Bryan_Utilities,13.7797
1966-03-05,Bryan_Utilities,12.8757
1966-03-06,Bryan_Utilities,12.0495
1966-03-07,Bryan_Utilities,11.2102
1966-03-08,Bryan_Utilities,10.4336
1966-03-09,Bryan_Utilities,9.8393
1966-03-10,Bryan_Utilities,9.3876
1966-03-11,Bryan_Utilities,8.9454
1966-03-12,Bryan_Utilities,8.4644
1966-03-13,Bryan_Utilities,8.4229
1966-03-14,Bryan_Utilities,7.7829
1966-03-15,Bryan_Utilities,7.4898
1966-03-16,Bryan_Utilities,7.232
1966-03-17,Bryan_Utilities,6.9969
1966-03-18,Bryan_Utilities,6.8026
1966-03-19,Bryan_Utilities,6.6965
1966-03-20,Bryan_Utilities,6.4614
1966-03-21,Bryan_Utilities,6.3134
1966-03-22,Bryan_Utilities,6.2088
1966-03-23,Bryan_Utilities,6.0782
1966-03-24,Bryan_Utilities,6.2994
1966-03-25,Bryan_Utilities,12.6825
1966-03-26,Bryan_Utilities,5.7118
1966-03-27,Bryan_Utilities,5.6115
1966-03-28,Bryan_Utilities,5.5066
1966-03-29,Bryan_Utilities,5.405
1966-03-30,Bryan_Utilities,5.3137
