date,reservoir,flow
1966-01-01,Greenville_City,0.0137
1966-01-02,Greenville_City,0.01377
1966-01-03,Greenville_City,0.01383
1966-01-04,Greenville_City,0.01471
1966-01-05,Greenville_City,0.07695
1966-01-06,Greenville_City,0.08514
1966-01-07,Greenville_City,0.02349
1966-01-08,Greenville_City,0.01426
1966-01-09,Greenville_City,0.0145
1966-01-10,Greenville_City,0.01431
1966-01-11,Greenville_City,0.01753
1966-01-12,Greenville_City,0.01443
1966-01-13,Greenville_City,0.01533
1966-01-14,Greenville_City,0.015
1966-01-15,Greenville_City,0.01543
1966-01-16,Greenville_City,0.39554
1966-01-17,Greenville_City,0.23719
1966-01-18,Greenville_City,0.01597
1966-01-19,Greenville_City,0.01882
1966-01-20,Greenville_City,0.06816
1966-01-21,Greenville_City,0.04955
1966-01-22,Greenville_City,0.04065
1966-01-23,Greenville_City,0.03605
1966-01-24,Greenville_City,0.03879
1966-01-25,Greenville_City,0.04053
1966-01-26,Greenville_City,0.04164
1966-01-27,Greenville_City,0.04168
1966-01-28,Greenville_City,0.05673
1966-01-29,Greenville_City,0.04279
1966-01-30,Greenville_City,0.04063
1966-01-31,Greenville_City,0.04736
1966-02-01,Greenville_City,0.36893
1966-02-02,Greenville_City,0.04231
1966-02-03,Greenville_City,0.04601
1966-02-04,Greenville_City,0.1016
1966-02-05,Greenville_City,0.04945
1966-02-06,Greenville_City,0.05043
1966-02-07,Greenville_City,0.05124
1966-02-08,Greenville_City,0.05257
1966-02-09,Greenville_City,0.06415
1966-02-10,Greenville_City,0.05313
1966-02-11,Greenville_City,0.05351
1966-02-12,Greenville_City,0.05504
1966-02-13,Greenville_City,0.05697
1966-02-14,Greenville_City,0.05356
1966-02-15,Greenville_City,0.05337
1966-02-16,Greenville_City,0.07756
1966-02-17,Greenville_City,0.30819
1966-02-18,Greenville_City,0.05723
1966-02-19,Greenville_City,0.06203
1966-02-20,Greenville_City,1.13978
1966-02-21,Greenville_City,1.26034
1966-02-22,Greenville_City,0.90767
1966-02-23,Greenville_City,0.99873
1966-02-24,Greenville_City,0.97664
1966-02-25,Greenville_City,0.90749
1966-02-26,Greenville_City,0.81167
1966-02-27,Greenville_City,0.70922
1966-02-28,Greenville_City,0.62895
1966-03-01,Greenville_City,1.02387
1966-03-02,Greenville_City,0.63244
1966-03-03,Greenville_City,0.8976
1966-03-04,Greenville_City,0.75239
1966-03-05,Greenville_City,0.75989
1966-03-06,Greenville_City,0.70988
1966-03-07,Greenville_City,0.63963
