date,reservoir,flow
1966-01-01,Joe_Pool,0.1081
1966-01-02,Joe_Pool,0.1079
1966-01-03,Joe_Pool,0.1077
1966-01-04,Joe_Pool,0.1123
1966-01-05,Joe_Pool,0.3446
1966-01-06,Joe_Pool,0.2362
1966-01-07,Joe_Pool,0.1864
1966-01-08,Joe_Pool,0.1071
1966-01-09,Joe_Pool,0.1069
1966-01-10,Joe_Pool,0.1068
1966-01-11,Joe_Pool,0.1522
1966-01-12,Joe_Pool,0.1067
1966-01-13,Joe_Pool,0.1066
1966-01-14,Joe_Pool,0.109
1966-01-15,Joe_Pool,0.1066
1966-01-16,Joe_Pool,1.9328
1966-01-17,Joe_Pool,0.2051
1966-01-18,Joe_Pool,0.1274
1966-01-19,Joe_Pool,0.1389
1966-01-20,Joe_Pool,0.3144
1966-01-21,Joe_Pool,0.1562
1966-01-22,Joe_Pool,0.1743
1966-01-23,Joe_Pool,0.1693
1966-01-24,Joe_Pool,0.1741
1966-01-25,Joe_Pool,0.1777
1966-01-26,Joe_Pool,0.1807
1966-01-27,Joe_Pool,0.1826
1966-01-28,Joe_Pool,0.4608
1966-01-29,Joe_Pool,0.2384
1966-01-30,Joe_Pool,0.1904
1966-01-31,Joe_Pool,0.1976
1966-02-01,Joe_Pool,2.0143
1966-02-02,Joe_Pool,0.258
1966-02-03,Joe_Pool,0.3189
1966-02-04,Joe_Pool,0.5108
1966-02-05,Joe_Pool,0.3765
1966-02-06,Joe_Pool,0.3937
1966-02-07,Joe_Pool,0.4046
1966-02-08,Joe_Pool,0.4108
1966-02-09,Joe_Pool,0.6932
1966-02-10,Joe_Pool,0.4186
1966-02-11,Joe_Pool,0.4216
1966-02-12,Joe_Pool,0.4283
1966-02-13,Joe_Pool,0.6622
1966-02-14,Joe_Pool,0.523
1966-02-15,Joe_Pool,0.4307
1966-02-16,Joe_Pool,1.3051
1966-02-17,Joe_Pool,4.0338
1966-02-18,Joe_Pool,1.3684
1966-02-19,Joe_Pool,1.7085
1966-02-20,Joe_Pool,5.0677
1966-02-21,Joe_Pool,2.9998
1966-02-22,Joe_Pool,2.9498
1966-02-23,Joe_Pool,2.7859
1966-02-24,Joe_Pool,2.5882
1966-02-25,Joe_Pool,2.3922
1966-02-26,Joe_Pool,2.1959
1966-02-27,Joe_Pool,2.0076
1966-02-28,Joe_Pool,1.8529
1966-03-01,Joe_Pool,2.8774
1966-03-02,Joe_Pool,1.7383
1966-03-03,Joe_Pool,1.6722
1966-03-04,Joe_Pool,1.6192
1966-03-05,Joe_Pool,1.5483
1966-03-06,Joe_Pool,1.4672
1966-03-07,Joe_Pool,1.377
1966-03-08,Joe_Pool,1.2831
1966-03-09,Joe_Pool,1.195
1966-03-10,Joe_Pool,1.1155
1966-03-11,Joe_Pool,1.0412
1966-03-12,Joe_Pool,0.967
1966-03-13,Joe_Pool,0.9108
1966-03-14,Joe_Pool,0.8436
1966-03-15,Joe_Pool,0.7878
1966-03-16,Joe_Pool,0.7362
1966-03-17,Joe_Pool,0.6859
1966-03-18,Joe_Pool,0.6391
1966-03-19,Joe_Pool,0.5978
1966-03-20,Joe_Pool,0.5598
1966-03-21,Joe_Pool,0.527
1966-03-22,Joe_Pool,0.4992
1966-03-23,Joe_Pool,0.4724
1966-03-24,Joe_Pool,0.4484
1966-03-25,Joe_Pool,0.4244
1966-03-26,Joe_Pool,0.4015
1966-03-27,Joe_Pool,0.3813
1966-03-28,Joe_Pool,0.3618
1966-03-29,Joe_Pool,0.3427
1966-03-30,Joe_Pool,0.3259
1966-03-31,Joe_Pool,0.311
1966-04-01,Joe_Pool,0.2971
1966-04-02,Joe_Pool,0.2835
1966-04-03,Joe_Pool,0.9082
1966-04-04,Joe_Pool,0.2676
1966-04-05,Joe_Pool,0.2566
1966-04-06,Joe_Pool,0.2476
1966-04-07,Joe_Pool,0.2386
1966-04-08,Joe_Pool,0.2305
1966-04-09,Joe_Pool,0.2232
1966-04-10,Joe_Pool,0.2162
1966-04-11,Joe_Pool,0.2094
1966-04-12,Joe_Pool,0.2033
1966-04-13,Joe_Pool,0.1981
1966-04-14,Joe_Pool,0.1934
1966-04-15,Joe_Pool,0.1951
1966-04-16,Joe_Pool,0.1852
1966-04-17,Joe_Pool,0.181
1966-04-18,Joe_Pool,0.1769
1966-04-19,Joe_Pool,0.1734
1966-04-20,Joe_Pool,0.3672
1966-04-21,Joe_Pool,0.1681
1966-04-22,Joe_Pool,0.1654
1966-04-23,Joe_Pool,0.1625
1966-04-24,Joe_Pool,0.1598
1966-04-25,Joe_Pool,0.1645
1966-04-26,Joe_Pool,0.1584
1966-04-27,Joe_Pool,0.1533
1966-04-28,Joe_Pool,0.1515
1966-04-29,Joe_Pool,0.1747
1966-04-30,Joe_Pool,0.1481
1966-05-01,Joe_Pool,0.1463
1966-05-02,Joe_Pool,0.1443
1966-05-03,Joe_Pool,0.1426
1966-05-04,Joe_Pool,0.1409
1966-05-05,Joe_Pool,0.1394
1966-05-06,Joe_Pool,0.2826
1966-05-07,Joe_Pool,0.6539
1966-05-08,Joe_Pool,0.1394
1966-05-09,Joe_Pool,0.1357
1966-05-10,Joe_Pool,0.1347
1966-05-11,Joe_Pool,0.1365
1966-05-12,Joe_Pool,0.133
1966-05-13,Joe_Pool,0.1321
1966-05-14,Joe_Pool,0.1314
1966-05-15,Joe_Pool,0.8329
1966-05-16,Joe_Pool,0.1395
1966-05-17,Joe_Pool,0.1325
1966-05-18,Joe_Pool,0.1293
1966-05-19,Joe_Pool,0.1286
1966-05-20,Joe_Pool,0.1284
1966-05-21,Joe_Pool,0.2414
1966-05-22,Joe_Pool,0.1278
1966-05-23,Joe_Pool,0.1272
1966-05-24,Joe_Pool,0.1264
1966-05-25,Joe_Pool,0.1266
1966-05-26,Joe_Pool,0.1309
