date,reservoir,flow
1966-01-01,Livingston,3.77357
1966-01-02,Livingston,4.23749
1966-01-03,Livingston,3.7819
1966-01-04,Livingston,4.48896
1966-01-05,Livingston,15.38576
1966-01-06,Livingston,49.83259
1966-01-07,Livingston,11.39719
1966-01-08,Livingston,8.27165
1966-01-09,Livingston,3.87827
1966-01-10,Livingston,4.40327
1966-01-11,Livingston,14.16493
1966-01-12,Livingston,5.11019
1966-01-13,Livingston,12.69633
1966-01-14,Livingston,18.2533
1966-01-15,Livingston,31.44776
1966-01-16,Livingston,169.41846
1966-01-17,Livingston,37.86195
1966-01-18,Livingston,4.56346
1966-01-19,Livingston,4.76415
1966-01-20,Livingston,43.63591
1966-01-21,Livingston,9.78573
1966-01-22,Livingston,7.50706
1966-01-23,Livingston,5.29032
1966-01-24,Livingston,5.36442
1966-01-25,Livingston,5.41402
1966-01-26,Livingston,5.67804
1966-01-27,Livingston,10.24958
1966-01-28,Livingston,22.99564
1966-01-29,Livingston,28.37806
1966-01-30,Livingston,39.11811
1966-01-31,Livingston,18.56123
1966-02-01,Livingston,120.94537
1966-02-02,Livingston,52.97443
1966-02-03,Livingston,13.05268
1966-02-04,Livingston,44.72471
1966-02-05,Livingston,12.8796
1966-02-06,Livingston,9.98458
1966-02-07,Livingston,14.254
1966-02-08,Livingston,27.1168
1966-02-09,Livingston,43.43205
1966-02-10,Livingston,13.27564
1966-02-11,Livingston,12.56382
1966-02-12,Livingston,14.34195
1966-02-13,Livingston,19.78665
1966-02-14,Livingston,19.95078
1966-02-15,Livingston,12.86727
1966-02-16,Livingston,57.59727
1966-02-17,Livingston,166.00345
1966-02-18,Livingston,23.89565
1966-02-19,Livingston,30.20575
1966-02-20,Livingston,194.9366
1966-02-21,Livingston,54.96694
1966-02-22,Livingston,37.7283
1966-02-23,Livingston,34.75344
1966-02-24,Livingston,33.27977
1966-02-25,Livingston,31.6471
1966-02-26,Livingston,30.02339
1966-02-27,Livingston,28.43411
1966-02-28,Livingston,30.0348
1966-03-01,Livingston,159.24496
1966-03-02,Livingston,38.06497
1966-03-03,Livingston,50.55094
1966-03-04,Livingston,26.11218
1966-03-05,Livingston,25.72063
1966-03-06,Livingston,25.03099
1966-03-07,Livingston,24.27694
1966-03-08,Livingston,23.40973
1966-03-09,Livingston,22.55108
1966-03-10,Livingston,21.71456
1966-03-11,Livingston,20.93278
1966-03-12,Livingston,20.0612
1966-03-13,Livingston,25.11134
1966-03-14,Livingston,20.27615
1966-03-15,Livingston,17.881710000000002
1966-03-16,Livingston,17.19997
1966-03-17,Livingston,16.55474
1966-03-18,Livingston,15.94386
1966-03-19,Livingston,16.04062
1966-03-20,Livingston,14.8812
1966-03-21,Livingston,14.37923
1966-03-22,Livingston,13.94737
1966-03-23,Livingston,13.53201
1966-03-24,Livingston,13.13826
1966-03-25,Livingston,20.14285
1966-03-26,Livingston,12.3919
1966-03-27,Livingston,12.05292
1966-03-28,Livingston,11.72407
1966-03-29,Livingston,11.4041
