date,reservoir,flow
1966-01-01,Pat_Mayse,0.028
1966-01-02,Pat_Mayse,0.0264
1966-01-03,Pat_Mayse,0.0264
1966-01-04,Pat_Mayse,0.0308
1966-01-05,Pat_Mayse,0.0674
1966-01-06,Pat_Mayse,0.1049
1966-01-07,Pat_Mayse,0.0497
1966-01-08,Pat_Mayse,0.0265
1966-01-09,Pat_Mayse,0.0266
1966-01-10,Pat_Mayse,0.0267
1966-01-11,Pat_Mayse,0.028
1966-01-12,Pat_Mayse,0.0269
1966-01-13,Pat_Mayse,0.0269
1966-01-14,Pat_Mayse,0.0269
1966-01-15,Pat_Mayse,0.0269
1966-01-16,Pat_Mayse,0.2179
1966-01-17,Pat_Mayse,0.3628
1966-01-18,Pat_Mayse,0.1693
1966-01-19,Pat_Mayse,0.0422
1966-01-20,Pat_Mayse,0.0819
1966-01-21,Pat_Mayse,0.0814
1966-01-22,Pat_Mayse,0.1087
1966-01-23,Pat_Mayse,0.0486
1966-01-24,Pat_Mayse,0.0507
1966-01-25,Pat_Mayse,0.0522
1966-01-26,Pat_Mayse,0.0535
1966-01-27,Pat_Mayse,0.0537
1966-01-28,Pat_Mayse,0.0592
1966-01-29,Pat_Mayse,0.0548
1966-01-30,Pat_Mayse,0.0636
1966-01-31,Pat_Mayse,0.0884
1966-02-01,Pat_Mayse,0.6133
1966-02-02,Pat_Mayse,0.0824
1966-02-03,Pat_Mayse,0.0625
1966-02-04,Pat_Mayse,0.1424
1966-02-05,Pat_Mayse,0.0687
1966-02-06,Pat_Mayse,0.0706
1966-02-07,Pat_Mayse,0.0717
1966-02-08,Pat_Mayse,0.072
1966-02-09,Pat_Mayse,0.0718
1966-02-10,Pat_Mayse,0.0712
1966-02-11,Pat_Mayse,0.0702
1966-02-12,Pat_Mayse,0.0691
1966-02-13,Pat_Mayse,0.0804
1966-02-14,Pat_Mayse,0.0664
1966-02-15,Pat_Mayse,0.065
1966-02-16,Pat_Mayse,0.0733
1966-02-17,Pat_Mayse,0.1297
1966-02-18,Pat_Mayse,0.0606
1966-02-19,Pat_Mayse,0.0594
1966-02-20,Pat_Mayse,0.2634
1966-02-21,Pat_Mayse,0.676
1966-02-22,Pat_Mayse,0.4559
1966-02-23,Pat_Mayse,0.4867
1966-02-24,Pat_Mayse,0.4912
1966-02-25,Pat_Mayse,0.5487
1966-02-26,Pat_Mayse,0.3477
1966-02-27,Pat_Mayse,0.2098
1966-02-28,Pat_Mayse,0.2094
1966-03-01,Pat_Mayse,1.3789
1966-03-02,Pat_Mayse,0.2585
1966-03-03,Pat_Mayse,0.3984
1966-03-04,Pat_Mayse,0.2733
1966-03-05,Pat_Mayse,0.2677
1966-03-06,Pat_Mayse,0.2572
1966-03-07,Pat_Mayse,0.2441
1966-03-08,Pat_Mayse,0.2304
1966-03-09,Pat_Mayse,0.2171
1966-03-10,Pat_Mayse,0.2045
1966-03-11,Pat_Mayse,0.1929
1966-03-12,Pat_Mayse,0.1819
1966-03-13,Pat_Mayse,0.1755
1966-03-14,Pat_Mayse,0.1729
1966-03-15,Pat_Mayse,0.1554
1966-03-16,Pat_Mayse,0.1472
1966-03-17,Pat_Mayse,0.1402
1966-03-18,Pat_Mayse,0.1337
1966-03-19,Pat_Mayse,0.1792
1966-03-20,Pat_Mayse,0.1226
1966-03-21,Pat_Mayse,0.1182
1966-03-22,Pat_Mayse,0.1132
