date,reservoir,flow
1966-01-01,Ray_Hubbard,0.4915
1966-01-02,Ray_Hubbard,0.4932
1966-01-03,Ray_Hubbard,0.495
1966-01-04,Ray_Hubbard,0.5075
1966-01-05,Ray_Hubbard,2.3113
1966-01-06,Ray_Hubbard,2.5366
1966-01-07,Ray_Hubbard,0.8129
1966-01-08,Ray_Hubbard,0.5048
1966-01-09,Ray_Hubbard,0.5075
1966-01-10,Ray_Hubbard,0.5101
1966-01-11,Ray_Hubbard,0.5609
1966-01-12,Ray_Hubbard,0.5148
1966-01-13,Ray_Hubbard,0.5172
1966-01-14,Ray_Hubbard,0.5308
1966-01-15,Ray_Hubbard,0.5214
1966-01-16,Ray_Hubbard,12.9782
1966-01-17,Ray_Hubbard,3.8739
1966-01-18,Ray_Hubbard,0.5504
1966-01-19,Ray_Hubbard,0.5681
1966-01-20,Ray_Hubbard,2.2654
1966-01-21,Ray_Hubbard,1.0173
1966-01-22,Ray_Hubbard,1.1091
1966-01-23,Ray_Hubbard,0.6367
1966-01-24,Ray_Hubbard,0.6527
1966-01-25,Ray_Hubbard,0.6676
1966-01-26,Ray_Hubbard,0.6866
1966-01-27,Ray_Hubbard,0.6935
1966-01-28,Ray_Hubbard,1.252
1966-01-29,Ray_Hubbard,0.8488
1966-01-30,Ray_Hubbard,0.7256
1966-01-31,Ray_Hubbard,0.939
1966-02-01,Ray_Hubbard,9.8953
1966-02-02,Ray_Hubbard,0.7713
1966-02-03,Ray_Hubbard,0.8049
1966-02-04,Ray_Hubbard,1.8043
1966-02-05,Ray_Hubbard,0.8655
1966-02-06,Ray_Hubbard,0.8939
1966-02-07,Ray_Hubbard,0.9198
1966-02-08,Ray_Hubbard,0.9439
1966-02-09,Ray_Hubbard,1.3997
1966-02-10,Ray_Hubbard,0.9823
1966-02-11,Ray_Hubbard,0.999
1966-02-12,Ray_Hubbard,1.0147
1966-02-13,Ray_Hubbard,1.1508
1966-02-14,Ray_Hubbard,1.0374
1966-02-15,Ray_Hubbard,1.0471
1966-02-16,Ray_Hubbard,2.2905
1966-02-17,Ray_Hubbard,11.2827
1966-02-18,Ray_Hubbard,1.1144
1966-02-19,Ray_Hubbard,1.1731
1966-02-20,Ray_Hubbard,37.5029
1966-02-21,Ray_Hubbard,14.7046
1966-02-22,Ray_Hubbard,3.3323
1966-02-23,Ray_Hubbard,4.0233
1966-02-24,Ray_Hubbard,4.439
1966-02-25,Ray_Hubbard,4.6636
1966-02-26,Ray_Hubbard,4.7909
1966-02-27,Ray_Hubbard,4.8389
1966-02-28,Ray_Hubbard,5.2905
1966-03-01,Ray_Hubbard,18.0526
1966-03-02,Ray_Hubbard,5.5068
1966-03-03,Ray_Hubbard,9.6317
1966-03-04,Ray_Hubbard,5.4245
1966-03-05,Ray_Hubbard,5.6442
1966-03-06,Ray_Hubbard,5.6364
1966-03-07,Ray_Hubbard,5.6266
1966-03-08,Ray_Hubbard,5.5631
1966-03-09,Ray_Hubbard,5.4642
1966-03-10,Ray_Hubbard,5.3416
1966-03-11,Ray_Hubbard,5.2117000000000004
1966-03-12,Ray_Hubbard,5.0608
1966-03-13,Ray_Hubbard,5.2405
1966-03-14,Ray_Hubbard,5.7396
1966-03-15,Ray_Hubbard,4.6136
1966-03-16,Ray_Hubbard,4.4666
1966-03-17,Ray_Hubbard,4.3253
1966-03-18,Ray_Hubbard,4.1868
1966-03-19,Ray_Hubbard,4.1886
1966-03-20,Ray_Hubbard,3.9213
1966-03-21,Ray_Hubbard,3.7955
1966-03-22,Ray_Hubbard,3.675
1966-03-23,Ray_Hubbard,3.5594
1966-03-24,Ray_Hubbard,3.4484
1966-03-25,Ray_Hubbard,3.3415
1966-03-26,Ray_Hubbard,3.2386
1966-03-27,Ray_Hubbard,3.1399
1966-03-28,Ray_Hubbard,3.0451
1966-03-29,Ray_Hubbard,2.9538
1966-03-30,Ray_Hubbard,2.8684
1966-03-31,Ray_Hubbard,2.7819
1966-04-01,Ray_Hubbard,2.7011
1966-04-02,Ray_Hubbard,2.6232
1966-04-03,Ray_Hubbard,12.9872
1966-04-04,Ray_Hubbard,2.6182
1966-04-05,Ray_Hubbard,2.4572
1966-04-06,Ray_Hubbard,2.4171
1966-04-07,Ray_Hubbard,2.375
1966-04-08,Ray_Hubbard,2.3309
1966-04-09,Ray_Hubbard,2.2854
1966-04-10,Ray_Hubbard,2.2393
1966-04-11,Ray_Hubbard,2.1924
1966-04-12,Ray_Hubbard,2.1452
1966-04-13,Ray_Hubbard,2.0993
1966-04-14,Ray_Hubbard,2.0557
1966-04-15,Ray_Hubbard,2.0781
1966-04-16,Ray_Hubbard,1.962
1966-04-17,Ray_Hubbard,1.9185
1966-04-18,Ray_Hubbard,1.8758
1966-04-19,Ray_Hubbard,1.8341
1966-04-20,Ray_Hubbard,3.1545
1966-04-21,Ray_Hubbard,1.7559
1966-04-22,Ray_Hubbard,1.716
1966-04-23,Ray_Hubbard,1.6792
1966-04-24,Ray_Hubbard,1.6434
1966-04-25,Ray_Hubbard,2.2134
1966-04-26,Ray_Hubbard,1.6604
1966-04-27,Ray_Hubbard,1.5426
1966-04-28,Ray_Hubbard,1.5125
1966-04-29,Ray_Hubbard,2.9283
1966-04-30,Ray_Hubbard,1.4517
1966-05-01,Ray_Hubbard,1.4238
1966-05-02,Ray_Hubbard,1.3968
1966-05-03,Ray_Hubbard,1.3708
1966-05-04,Ray_Hubbard,1.3456
1966-05-05,Ray_Hubbard,1.3212
1966-05-06,Ray_Hubbard,3.8788
1966-05-07,Ray_Hubbard,3.0804
1966-05-08,Ray_Hubbard,1.9523
1966-05-09,Ray_Hubbard,1.4573
1966-05-10,Ray_Hubbard,1.2418
1966-05-11,Ray_Hubbard,1.3822
1966-05-12,Ray_Hubbard,1.1806
1966-05-13,Ray_Hubbard,1.1635
1966-05-14,Ray_Hubbard,1.1466
1966-05-15,Ray_Hubbard,10.2634
1966-05-16,Ray_Hubbard,2.1012
1966-05-17,Ray_Hubbard,1.2779
1966-05-18,Ray_Hubbard,1.1004
1966-05-19,Ray_Hubbard,1.0884
1966-05-20,Ray_Hubbard,1.0785
1966-05-21,Ray_Hubbard,2.919
1966-05-22,Ray_Hubbard,1.0695
1966-05-23,Ray_Hubbard,1.0656
1966-05-24,Ray_Hubbard,1.047
1966-05-25,Ray_Hubbard,1.0521
1966-05-26,Ray_Hubbard,1.0327
1966-05-27,Ray_Hubbard,1.0532
1966-05-28,Ray_Hubbard,1.6244
1966-05-29,Ray_Hubbard,1.034
1966-05-30,Ray_Hubbard,0.9853
1966-05-31,Ray_Hubbard,1.1592
1966-06-01,Ray_Hubbard,1.2082
1966-06-02,Ray_Hubbard,1.1006
1966-06-03,Ray_Hubbard,0.9556
1966-06-04,Ray_Hubbard,9.6276
1966-06-05,Ray_Hubbard,11.6319
1966-06-06,Ray_Hubbard,2.611
1966-06-07,Ray_Hubbard,0.9572
1966-06-08,Ray_Hubbard,5.2947
1966-06-09,Ray_Hubbard,0.9964
1966-06-10,Ray_Hubbard,0.9917
1966-06-11,Ray_Hubbard,9.7132
1966-06-12,Ray_Hubbard,1.05
1966-06-13,Ray_Hubbard,1.0804
1966-06-14,Ray_Hubbard,1.1127
1966-06-15,Ray_Hubbard,1.2339
1966-06-16,Ray_Hubbard,2.1073
1966-06-17,Ray_Hubbard,1.1901
1966-06-18,Ray_Hubbard,1.1711
1966-06-19,Ray_Hubbard,1.1765
1966-06-20,Ray_Hubbard,1.179
1966-06-21,Ray_Hubbard,1.1781
1966-06-22,Ray_Hubbard,1.3189
1966-06-23,Ray_Hubbard,1.1922
1966-06-24,Ray_Hubbard,1.7851
1966-06-25,Ray_Hubbard,1.7724
1966-06-26,Ray_Hubbard,1.2977
1966-06-27,Ray_Hubbard,1.1434
1966-06-28,Ray_Hubbard,1.2632
1966-06-29,Ray_Hubbard,1.2873000000000001
1966-06-30,Ray_Hubbard,1.1551
1966-07-01,Ray_Hubbard,1.1085
1966-07-02,Ray_Hubbard,1.0979
1966-07-03,Ray_Hubbard,1.0878
1966-07-04,Ray_Hubbard,1.0776
1966-07-05,Ray_Hubbard,1.0674
1966-07-06,Ray_Hubbard,1.0571
1966-07-07,Ray_Hubbard,1.0471
1966-07-08,Ray_Hubbard,1.0365
1966-07-09,Ray_Hubbard,1.0263
1966-07-10,Ray_Hubbard,1.0161
1966-07-11,Ray_Hubbard,1.0064
1966-07-12,Ray_Hubbard,0.9961
1966-07-13,Ray_Hubbard,0.9871
1966-07-14,Ray_Hubbard,0.9766
1966-07-15,Ray_Hubbard,0.9686
1966-07-16,Ray_Hubbard,0.9785
1966-07-17,Ray_Hubbard,1.0985
1966-07-18,Ray_Hubbard,1.1656
1966-07-19,Ray_Hubbard,0.9328
1966-07-20,Ray_Hubbard,0.9219
1966-07-21,Ray_Hubbard,0.9134
1966-07-22,Ray_Hubbard,0.9052
1966-07-23,Ray_Hubbard,0.8971
1966-07-24,Ray_Hubbard,0.8892
1966-07-25,Ray_Hubbard,0.8815
1966-07-26,Ray_Hubbard,0.874
1966-07-27,Ray_Hubbard,0.8666
1966-07-28,Ray_Hubbard,0.885
1966-07-29,Ray_Hubbard,0.8527
1966-07-30,Ray_Hubbard,0.854
1966-07-31,Ray_Hubbard,0.8423
1966-08-01,Ray_Hubbard,0.8323
1966-08-02,Ray_Hubbard,0.8259
1966-08-03,Ray_Hubbard,0.8627
1966-08-04,Ray_Hubbard,0.8136
1966-08-05,Ray_Hubbard,0.8077
1966-08-06,Ray_Hubbard,0.8019
1966-08-07,Ray_Hubbard,0.7963
1966-08-08,Ray_Hubbard,0.7908
1966-08-09,Ray_Hubbard,0.7855
1966-08-10,Ray_Hubbard,0.7802
1966-08-11,Ray_Hubbard,0.7751
1966-08-12,Ray_Hubbard,0.7701
1966-08-13,Ray_Hubbard,0.7653
1966-08-14,Ray_Hubbard,0.7605
1966-08-15,Ray_Hubbard,0.7558
1966-08-16,Ray_Hubbard,0.7513
1966-08-17,Ray_Hubbard,0.7472
1966-08-18,Ray_Hubbard,0.7425
1966-08-19,Ray_Hubbard,0.7383
1966-08-20,Ray_Hubbard,0.7341
1966-08-21,Ray_Hubbard,0.7301
1966-08-22,Ray_Hubbard,0.7261
1966-08-23,Ray_Hubbard,0.7222
1966-08-24,Ray_Hubbard,0.7184
1966-08-25,Ray_Hubbard,0.7147
1966-08-26,Ray_Hubbard,0.7111
1966-08-27,Ray_Hubbard,0.7075
1966-08-28,Ray_Hubbard,0.7041
1966-08-29,Ray_Hubbard,0.7007
1966-08-30,Ray_Hubbard,0.6973
1966-08-31,Ray_Hubbard,0.6941
1966-09-01,Ray_Hubbard,0.6908
1966-09-02,Ray_Hubbard,0.6877
1966-09-03,Ray_Hubbard,0.688
1966-09-04,Ray_Hubbard,0.6863
1966-09-05,Ray_Hubbard,0.7016
1966-09-06,Ray_Hubbard,0.6758
1966-09-07,Ray_Hubbard,0.7122
1966-09-08,Ray_Hubbard,0.8351
1966-09-09,Ray_Hubbard,0.6682
1966-09-10,Ray_Hubbard,6.3563
1966-09-11,Ray_Hubbard,0.7164
1966-09-12,Ray_Hubbard,0.6795
1966-09-13,Ray_Hubbard,1.6352
1966-09-14,Ray_Hubbard,0.6592
1966-09-15,Ray_Hubbard,0.6525
1966-09-16,Ray_Hubbard,0.9448
1966-09-17,Ray_Hubbard,3.5504
1966-09-18,Ray_Hubbard,0.6456
