date,reservoir,flow
1966-01-01,Richland-Chambers,0.336
1966-01-02,Richland-Chambers,0.3404
1966-01-03,Richland-Chambers,0.344
1966-01-04,Richland-Chambers,0.3862
1966-01-05,Richland-Chambers,1.5225
1966-01-06,Richland-Chambers,2.0104
1966-01-07,Richland-Chambers,0.8118
1966-01-08,Richland-Chambers,0.3577
1966-01-09,Richland-Chambers,0.3614
1966-01-10,Richland-Chambers,0.3625
1966-01-11,Richland-Chambers,0.9184
1966-01-12,Richland-Chambers,0.3671
1966-01-13,Richland-Chambers,0.3754
1966-01-14,Richland-Chambers,0.5706
1966-01-15,Richland-Chambers,0.5673
1966-01-16,Richland-Chambers,19.5905
1966-01-17,Richland-Chambers,4.2176
1966-01-18,Richland-Chambers,0.6305
1966-01-19,Richland-Chambers,0.7037
1966-01-20,Richland-Chambers,2.6087
1966-01-21,Richland-Chambers,0.7819
1966-01-22,Richland-Chambers,0.9389
1966-01-23,Richland-Chambers,0.8173
1966-01-24,Richland-Chambers,0.8258
1966-01-25,Richland-Chambers,0.8275
1966-01-26,Richland-Chambers,0.8359
1966-01-27,Richland-Chambers,0.8254
1966-01-28,Richland-Chambers,3.8114
1966-01-29,Richland-Chambers,1.8755
1966-01-30,Richland-Chambers,1.2391
1966-01-31,Richland-Chambers,1.0553
1966-02-01,Richland-Chambers,14.064
1966-02-02,Richland-Chambers,1.2172
1966-02-03,Richland-Chambers,1.1747
1966-02-04,Richland-Chambers,2.7451
1966-02-05,Richland-Chambers,1.3625
1966-02-06,Richland-Chambers,1.4221
1966-02-07,Richland-Chambers,1.4597
1966-02-08,Richland-Chambers,1.524
1966-02-09,Richland-Chambers,4.2914
1966-02-10,Richland-Chambers,1.5106
1966-02-11,Richland-Chambers,1.5261
1966-02-12,Richland-Chambers,1.5578
1966-02-13,Richland-Chambers,2.5439
1966-02-14,Richland-Chambers,2.3666
1966-02-15,Richland-Chambers,1.5304
1966-02-16,Richland-Chambers,11.6693
1966-02-17,Richland-Chambers,36.7086
1966-02-18,Richland-Chambers,5.9525
1966-02-19,Richland-Chambers,6.6379
1966-02-20,Richland-Chambers,8.3235
1966-02-21,Richland-Chambers,5.0152
1966-02-22,Richland-Chambers,4.7626
1966-02-23,Richland-Chambers,4.4944
1966-02-24,Richland-Chambers,4.235
1966-02-25,Richland-Chambers,3.972
1966-02-26,Richland-Chambers,3.7004
1966-02-27,Richland-Chambers,3.4371
1966-02-28,Richland-Chambers,3.3222
1966-03-01,Richland-Chambers,14.8312
1966-03-02,Richland-Chambers,3.6056
1966-03-03,Richland-Chambers,3.4258
1966-03-04,Richland-Chambers,2.8492
1966-03-05,Richland-Chambers,2.7511
1966-03-06,Richland-Chambers,2.6382
1966-03-07,Richland-Chambers,2.5075
1966-03-08,Richland-Chambers,2.3667
1966-03-09,Richland-Chambers,2.2321
1966-03-10,Richland-Chambers,2.1101
1966-03-11,Richland-Chambers,1.9918
1966-03-12,Richland-Chambers,1.8667
1966-03-13,Richland-Chambers,1.7946
1966-03-14,Richland-Chambers,1.6476
1966-03-15,Richland-Chambers,1.5449
1966-03-16,Richland-Chambers,1.4495
1966-03-17,Richland-Chambers,1.3565
1966-03-18,Richland-Chambers,1.2686
1966-03-19,Richland-Chambers,1.1924
1966-03-20,Richland-Chambers,1.1205
1966-03-21,Richland-Chambers,1.0604
1966-03-22,Richland-Chambers,1.0101
1966-03-23,Richland-Chambers,0.9586
1966-03-24,Richland-Chambers,0.9096
1966-03-25,Richland-Chambers,0.8692
1966-03-26,Richland-Chambers,0.8255
1966-03-27,Richland-Chambers,0.7867
1966-03-28,Richland-Chambers,0.749
1966-03-29,Richland-Chambers,0.7116
1966-03-30,Richland-Chambers,0.6796
1966-03-31,Richland-Chambers,0.6517
1966-04-01,Richland-Chambers,0.6242
1966-04-02,Richland-Chambers,0.5989
1966-04-03,Richland-Chambers,8.759
1966-04-04,Richland-Chambers,0.7922
1966-04-05,Richland-Chambers,0.5502
1966-04-06,Richland-Chambers,0.5346
1966-04-07,Richland-Chambers,0.5183
1966-04-08,Richland-Chambers,0.5036
1966-04-09,Richland-Chambers,0.4902
1966-04-10,Richland-Chambers,0.4772
1966-04-11,Richland-Chambers,0.4643
1966-04-12,Richland-Chambers,0.4529
1966-04-13,Richland-Chambers,0.4471
1966-04-14,Richland-Chambers,0.4369
1966-04-15,Richland-Chambers,0.434
1966-04-16,Richland-Chambers,0.4211
1966-04-17,Richland-Chambers,0.4134
1966-04-18,Richland-Chambers,0.4057
1966-04-19,Richland-Chambers,0.4
1966-04-20,Richland-Chambers,1.7965
1966-04-21,Richland-Chambers,0.3945
1966-04-22,Richland-Chambers,0.385
1966-04-23,Richland-Chambers,0.3798
1966-04-24,Richland-Chambers,0.3747
1966-04-25,Richland-Chambers,0.4055
1966-04-26,Richland-Chambers,0.3664
1966-04-27,Richland-Chambers,0.3624
1966-04-28,Richland-Chambers,0.3599
1966-04-29,Richland-Chambers,0.6034
1966-04-30,Richland-Chambers,0.3529
1966-05-01,Richland-Chambers,0.3496
1966-05-02,Richland-Chambers,0.3459
1966-05-03,Richland-Chambers,0.3426
1966-05-04,Richland-Chambers,0.3396
1966-05-05,Richland-Chambers,0.3368
1966-05-06,Richland-Chambers,1.139
1966-05-07,Richland-Chambers,8.2504
1966-05-08,Richland-Chambers,0.9872
1966-05-09,Richland-Chambers,0.3301
1966-05-10,Richland-Chambers,0.3282
1966-05-11,Richland-Chambers,0.3313
1966-05-12,Richland-Chambers,0.3249
1966-05-13,Richland-Chambers,0.3232
1966-05-14,Richland-Chambers,0.3216
1966-05-15,Richland-Chambers,9.0391
1966-05-16,Richland-Chambers,0.3224
1966-05-17,Richland-Chambers,0.3204
1966-05-18,Richland-Chambers,0.3178
1966-05-19,Richland-Chambers,0.3158
1966-05-20,Richland-Chambers,0.3543
1966-05-21,Richland-Chambers,1.3276
1966-05-22,Richland-Chambers,0.4137
1966-05-23,Richland-Chambers,0.4241
1966-05-24,Richland-Chambers,0.3135
1966-05-25,Richland-Chambers,0.3162
1966-05-26,Richland-Chambers,0.6007
1966-05-27,Richland-Chambers,20.5364
1966-05-28,Richland-Chambers,0.5637
1966-05-29,Richland-Chambers,0.3496
1966-05-30,Richland-Chambers,0.3075
1966-05-31,Richland-Chambers,0.7578
1966-06-01,Richland-Chambers,0.9353
1966-06-02,Richland-Chambers,0.3657
1966-06-03,Richland-Chambers,0.4545
1966-06-04,Richland-Chambers,4.8726
1966-06-05,Richland-Chambers,3.5351
1966-06-06,Richland-Chambers,1.155
1966-06-07,Richland-Chambers,0.3117
1966-06-08,Richland-Chambers,30.2968
1966-06-09,Richland-Chambers,0.302
1966-06-10,Richland-Chambers,0.3035
1966-06-11,Richland-Chambers,0.624
1966-06-12,Richland-Chambers,0.3057
1966-06-13,Richland-Chambers,0.3067
1966-06-14,Richland-Chambers,0.307
1966-06-15,Richland-Chambers,0.4842
1966-06-16,Richland-Chambers,0.3131
1966-06-17,Richland-Chambers,0.3046
1966-06-18,Richland-Chambers,0.3032
1966-06-19,Richland-Chambers,0.3024
1966-06-20,Richland-Chambers,0.3018
1966-06-21,Richland-Chambers,0.301
1966-06-22,Richland-Chambers,0.3247
1966-06-23,Richland-Chambers,0.3025
1966-06-24,Richland-Chambers,0.3816
1966-06-25,Richland-Chambers,0.4824
1966-06-26,Richland-Chambers,0.3004
1966-06-27,Richland-Chambers,0.2962
1966-06-28,Richland-Chambers,0.3049
1966-06-29,Richland-Chambers,0.7676
1966-06-30,Richland-Chambers,0.5333
1966-07-01,Richland-Chambers,0.2969
1966-07-02,Richland-Chambers,0.2921
1966-07-03,Richland-Chambers,0.2909
1966-07-04,Richland-Chambers,0.29
1966-07-05,Richland-Chambers,0.2891
1966-07-06,Richland-Chambers,0.2883
1966-07-07,Richland-Chambers,0.2877
1966-07-08,Richland-Chambers,0.2866
1966-07-09,Richland-Chambers,0.2858
1966-07-10,Richland-Chambers,0.285
1966-07-11,Richland-Chambers,0.2869
1966-07-12,Richland-Chambers,0.2835
1966-07-13,Richland-Chambers,0.2827
1966-07-14,Richland-Chambers,0.2825
1966-07-15,Richland-Chambers,0.308
1966-07-16,Richland-Chambers,0.2895
1966-07-17,Richland-Chambers,0.3608
1966-07-18,Richland-Chambers,0.3059
1966-07-19,Richland-Chambers,0.2788
1966-07-20,Richland-Chambers,0.2781
1966-07-21,Richland-Chambers,0.2776
1966-07-22,Richland-Chambers,0.2769
1966-07-23,Richland-Chambers,0.2764
1966-07-24,Richland-Chambers,0.2758
1966-07-25,Richland-Chambers,0.2753
1966-07-26,Richland-Chambers,0.2748
1966-07-27,Richland-Chambers,0.2743
1966-07-28,Richland-Chambers,0.2865
1966-07-29,Richland-Chambers,0.2733
1966-07-30,Richland-Chambers,0.2737
1966-07-31,Richland-Chambers,0.2732
1966-08-01,Richland-Chambers,0.2722
1966-08-02,Richland-Chambers,0.2717
1966-08-03,Richland-Chambers,0.6256
1966-08-04,Richland-Chambers,0.2785
1966-08-05,Richland-Chambers,0.2703
1966-08-06,Richland-Chambers,0.2699
1966-08-07,Richland-Chambers,0.2695
1966-08-08,Richland-Chambers,0.2691
1966-08-09,Richland-Chambers,0.2687
1966-08-10,Richland-Chambers,0.2684
1966-08-11,Richland-Chambers,0.268
1966-08-12,Richland-Chambers,0.2677
1966-08-13,Richland-Chambers,0.2673
1966-08-14,Richland-Chambers,0.2752
1966-08-15,Richland-Chambers,0.2667
1966-08-16,Richland-Chambers,0.2664
1966-08-17,Richland-Chambers,0.2707
1966-08-18,Richland-Chambers,0.2658
1966-08-19,Richland-Chambers,0.2654
1966-08-20,Richland-Chambers,0.2651
1966-08-21,Richland-Chambers,0.2648
1966-08-22,Richland-Chambers,0.2647
1966-08-23,Richland-Chambers,0.2642
1966-08-24,Richland-Chambers,0.2639
1966-08-25,Richland-Chambers,0.2636
1966-08-26,Richland-Chambers,0.2633
1966-08-27,Richland-Chambers,0.2631
1966-08-28,Richland-Chambers,0.2628
1966-08-29,Richland-Chambers,0.2625
1966-08-30,Richland-Chambers,0.2625
1966-08-31,Richland-Chambers,0.2619
1966-09-01,Richland-Chambers,0.2617
1966-09-02,Richland-Chambers,0.2614
1966-09-03,Richland-Chambers,0.2745
1966-09-04,Richland-Chambers,0.261
1966-09-05,Richland-Chambers,0.2606
1966-09-06,Richland-Chambers,0.2605
1966-09-07,Richland-Chambers,0.2606
1966-09-08,Richland-Chambers,0.4389
1966-09-09,Richland-Chambers,0.2603
1966-09-10,Richland-Chambers,2.6653
1966-09-11,Richland-Chambers,1.4802
1966-09-12,Richland-Chambers,0.3003
1966-09-13,Richland-Chambers,0.4269
1966-09-14,Richland-Chambers,0.9373
1966-09-15,Richland-Chambers,0.2581
1966-09-16,Richland-Chambers,0.6857
1966-09-17,Richland-Chambers,2.441
1966-09-18,Richland-Chambers,0.2574
1966-09-19,Richland-Chambers,0.2572
1966-09-20,Richland-Chambers,0.2571
1966-09-21,Richland-Chambers,0.2567
1966-09-22,Richland-Chambers,1.2493
1966-09-23,Richland-Chambers,0.3246
1966-09-24,Richland-Chambers,3.7452
1966-09-25,Richland-Chambers,0.8725
1966-09-26,Richland-Chambers,8.9234000000000009
1966-09-27,Richland-Chambers,24.5867
1966-09-28,Richland-Chambers,0.3415
1966-09-29,Richland-Chambers,0.2859
1966-09-30,Richland-Chambers,0.2943
1966-10-01,Richland-Chambers,0.4284
1966-10-02,Richland-Chambers,2.3026
1966-10-03,Richland-Chambers,0.3492
1966-10-04,Richland-Chambers,0.307
1966-10-05,Richland-Chambers,0.308
1966-10-06,Richland-Chambers,0.3084
1966-10-07,Richland-Chambers,0.3085
1966-10-08,Richland-Chambers,0.3082
1966-10-09,Richland-Chambers,0.3078
1966-10-10,Richland-Chambers,0.307
1966-10-11,Richland-Chambers,0.307
1966-10-12,Richland-Chambers,0.3052
1966-10-13,Richland-Chambers,0.3056
1966-10-14,Richland-Chambers,0.303
1966-10-15,Richland-Chambers,0.3019
1966-10-16,Richland-Chambers,0.3007
1966-10-17,Richland-Chambers,0.2995
1966-10-18,Richland-Chambers,0.2983
1966-10-19,Richland-Chambers,0.2973
1966-10-20,Richland-Chambers,0.2959
1966-10-21,Richland-Chambers,0.2947
1966-10-22,Richland-Chambers,2.4949
1966-10-23,Richland-Chambers,0.2924
1966-10-24,Richland-Chambers,0.2912
1966-10-25,Richland-Chambers,0.2901
1966-10-26,Richland-Chambers,0.289
1966-10-27,Richland-Chambers,0.2879
1966-10-28,Richland-Chambers,0.2869
1966-10-29,Richland-Chambers,0.2863
1966-10-30,Richland-Chambers,14.7367
1966-10-31,Richland-Chambers,0.3459
1966-11-01,Richland-Chambers,3.1932
1966-11-02,Richland-Chambers,0.4966
1966-11-03,Richland-Chambers,0.2877
1966-11-04,Richland-Chambers,0.2903
1966-11-05,Richland-Chambers,0.2924
1966-11-06,Richland-Chambers,1.5919
1966-11-07,Richland-Chambers,1.6588
1966-11-08,Richland-Chambers,0.8079
1966-11-09,Richland-Chambers,0.3032
1966-11-10,Richland-Chambers,0.3064
1966-11-11,Richland-Chambers,0.3088
1966-11-12,Richland-Chambers,0.3103
1966-11-13,Richland-Chambers,0.3114
1966-11-14,Richland-Chambers,0.3119
1966-11-15,Richland-Chambers,0.312
1966-11-16,Richland-Chambers,0.3118
1966-11-17,Richland-Chambers,0.312
1966-11-18,Richland-Chambers,0.3112
1966-11-19,Richland-Chambers,0.3098
1966-11-20,Richland-Chambers,0.3097
1966-11-21,Richland-Chambers,0.8382
1966-11-22,Richland-Chambers,2.2667
1966-11-23,Richland-Chambers,0.5562
1966-11-24,Richland-Chambers,0.3082
1966-11-25,Richland-Chambers,11.3392
1966-11-26,Richland-Chambers,0.9059
1966-11-27,Richland-Chambers,0.3478
1966-11-28,Richland-Chambers,0.3428
1966-11-29,Richland-Chambers,0.3446
1966-11-30,Richland-Chambers,0.4647
1966-12-01,Richland-Chambers,2.2114
1966-12-02,Richland-Chambers,0.8101
1966-12-03,Richland-Chambers,0.3627
