date,reservoir,flow
1966-01-01,Texoma,0.89111
1966-01-02,Texoma,0.8786
1966-01-03,Texoma,0.89247
1966-01-04,Texoma,1.19806
1966-01-05,Texoma,8.41552
1966-01-06,Texoma,37.76462
1966-01-07,Texoma,1.14372
1966-01-08,Texoma,0.87156
1966-01-09,Texoma,0.91704
1966-01-10,Texoma,0.86737
1966-01-11,Texoma,0.99891
1966-01-12,Texoma,1.08563
1966-01-13,Texoma,3.76862
1966-01-14,Texoma,1.14817
1966-01-15,Texoma,21.70393
1966-01-16,Texoma,78.09155
1966-01-17,Texoma,12.47394
1966-01-18,Texoma,0.86637
1966-01-19,Texoma,0.89081
1966-01-20,Texoma,4.20445
1966-01-21,Texoma,9.58851
1966-01-22,Texoma,2.73049
1966-01-23,Texoma,1.0022200000000001
1966-01-24,Texoma,1.50748
1966-01-25,Texoma,7.75713
1966-01-26,Texoma,0.87634
1966-01-27,Texoma,0.90422
1966-01-28,Texoma,1.28745
1966-01-29,Texoma,0.90726
1966-01-30,Texoma,0.8826
1966-01-31,Texoma,0.90855
1966-02-01,Texoma,1.39712
1966-02-02,Texoma,0.88392
1966-02-03,Texoma,0.88496
1966-02-04,Texoma,0.88603
1966-02-05,Texoma,0.88655
1966-02-06,Texoma,0.88719
1966-02-07,Texoma,0.88849
1966-02-08,Texoma,1.24122
1966-02-09,Texoma,1.79247
1966-02-10,Texoma,1.87358
1966-02-11,Texoma,7.54785
1966-02-12,Texoma,18.06712
1966-02-13,Texoma,29.03575
1966-02-14,Texoma,12.13385
1966-02-15,Texoma,31.34283
1966-02-16,Texoma,48.96983
1966-02-17,Texoma,49.68802
1966-02-18,Texoma,1.08388
1966-02-19,Texoma,18.27751
1966-02-20,Texoma,37.78356
1966-02-21,Texoma,2.63572
1966-02-22,Texoma,1.23151
1966-02-23,Texoma,1.03479
1966-02-24,Texoma,1.00752
1966-02-25,Texoma,1.01885
1966-02-26,Texoma,1.02465
1966-02-27,Texoma,1.02924
1966-02-28,Texoma,1.07814
1966-03-01,Texoma,43.09867
1966-03-02,Texoma,8.27022
1966-03-03,Texoma,28.88676
1966-03-04,Texoma,1.32381
1966-03-05,Texoma,1.34394
1966-03-06,Texoma,1.20178
1966-03-07,Texoma,1.19061
1966-03-08,Texoma,1.17038
1966-03-09,Texoma,1.38412
1966-03-10,Texoma,1.14718
1966-03-11,Texoma,1.13274
1966-03-12,Texoma,1.11596
1966-03-13,Texoma,10.4385
1966-03-14,Texoma,4.95771
1966-03-15,Texoma,1.08624
1966-03-16,Texoma,1.07754
1966-03-17,Texoma,1.06687
1966-03-18,Texoma,1.10624
1966-03-19,Texoma,3.01329
1966-03-20,Texoma,1.10656
1966-03-21,Texoma,1.04023
1966-03-22,Texoma,1.05353
1966-03-23,Texoma,1.02999
1966-03-24,Texoma,1.04187
1966-03-25,Texoma,1.01582
1966-03-26,Texoma,1.03151
1966-03-27,Texoma,1.01467
1966-03-28,Texoma,0.99793
1966-03-29,Texoma,0.99265
1966-03-30,Texoma,1.5702
1966-03-31,Texoma,0.98352
1966-04-01,Texoma,0.99856
1966-04-02,Texoma,0.97632
1966-04-03,Texoma,81.02093
1966-04-04,Texoma,0.98004
1966-04-05,Texoma,0.99767
1966-04-06,Texoma,1.01005
1966-04-07,Texoma,1.01006
1966-04-08,Texoma,1.00419
1966-04-09,Texoma,0.99657
1966-04-10,Texoma,0.98867
1966-04-11,Texoma,0.98024
1966-04-12,Texoma,0.97255
1966-04-13,Texoma,0.9656
1966-04-14,Texoma,0.96061
1966-04-15,Texoma,1.12256
1966-04-16,Texoma,0.9476
1966-04-17,Texoma,0.94288
1966-04-18,Texoma,0.93856
1966-04-19,Texoma,0.93492
1966-04-20,Texoma,2.27334
1966-04-21,Texoma,2.29959
1966-04-22,Texoma,0.92548
1966-04-23,Texoma,0.92288
1966-04-24,Texoma,0.92106
1966-04-25,Texoma,1.29318
1966-04-26,Texoma,3.30848
1966-04-27,Texoma,0.91548
1966-04-28,Texoma,0.9174
1966-04-29,Texoma,1.29637
1966-04-30,Texoma,0.90405
1966-05-01,Texoma,0.90077
1966-05-02,Texoma,0.89809
1966-05-03,Texoma,0.89544
1966-05-04,Texoma,0.90566
1966-05-05,Texoma,0.89741
1966-05-06,Texoma,27.19556
1966-05-07,Texoma,8.17372
1966-05-08,Texoma,2.68903
1966-05-09,Texoma,22.66498
1966-05-10,Texoma,2.03204
1966-05-11,Texoma,0.89065
1966-05-12,Texoma,0.8726
1966-05-13,Texoma,0.87017
1966-05-14,Texoma,0.94922
1966-05-15,Texoma,107.10669
1966-05-16,Texoma,40.91056
1966-05-17,Texoma,3.60972
1966-05-18,Texoma,0.86362
1966-05-19,Texoma,0.94603
1966-05-20,Texoma,1.19476
1966-05-21,Texoma,27.14399
1966-05-22,Texoma,0.86091
1966-05-23,Texoma,0.85278
1966-05-24,Texoma,0.85201
1966-05-25,Texoma,0.8567
1966-05-26,Texoma,11.83066
1966-05-27,Texoma,0.90434
1966-05-28,Texoma,35.54905
1966-05-29,Texoma,28.28777
1966-05-30,Texoma,4.2521
1966-05-31,Texoma,13.9273
1966-06-01,Texoma,5.12576
1966-06-02,Texoma,1.23154
1966-06-03,Texoma,1.39502
1966-06-04,Texoma,71.41219
1966-06-05,Texoma,22.37139
1966-06-06,Texoma,0.97822
1966-06-07,Texoma,0.94083
1966-06-08,Texoma,1.84093
1966-06-09,Texoma,0.97385
1966-06-10,Texoma,13.68555
