date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1999-01-01,1.58644,0.0551,0.05161,1.5e-4,0.08118,0.02764,0.0029,0.65682,0.34405,0.00573,0.00677,1.89273,0.00861,0.76338,0.13088,0.40983,0.10392,0.02182,1.34595,0.48301,9.49972,0.17723,0.02927,0.05573,1.90353,0.15555,0.33,9.5e-4,0.12341,0.73125,1.17805,8.5555,0.00278,0.00168,5e-5,0.88987
1999-01-02,1.55804,0.05769,0.05075,0.00984,0.13603,0.03074,0.00314,0.5967,0.35305,0.00571,0.00677,1.87238,0.00842,0.52015,0.12499,0.39409,0.10892,0.02184,1.35235,0.36837,9.20977,0.18371,0.01103,0.05488,1.91617,0.15325,0.37144,9.5e-4,0.12485,0.73135,1.17245,8.56267,0.00252,0.00174,6.9e-4,0.66056
1999-01-03,2.48515,0.05609,0.04988,0,0.06299,0.03255,0.05852,0.50918,0.67134,0.00572,0.00677,3.91796,0.00828,0.50624,0.11972,2.71098,0.10491,0.02185,1.35534,0.36729,11.32159,0.17941,0.01089,0.05398,1.924,0.1534,0.31533,0.01553,0.1398,4.3704,1.16659,8.96275,0.00253,0.01659,0.00451,0.60995
1999-01-04,2.07039,0.0559,0.049,0,0.05688,0.03283,0.00294,0.46723,0.3465,0.00573,0.00677,3.04716,0.00813,0.4977,0.11467,3.28478,0.10467,0.02187,1.35515,0.3676,9.22085,0.17922,0.01073,0.05305,1.92737,0.15352,0.28463,0.00365,0.12709,1.69196,1.16059,8.60048,0.00254,0.00168,6e-5,0.59628
1999-01-05,2.81236,0.05544,0.04816,0,0.05774,0.03248,0.00289,0.46786,0.34774,0.00575,0.00677,3.29659,0.00799,0.48946,0.11008,0.7192,0.10455,0.02188,1.35227,0.36794,9.14027,0.17891,0.01054,0.0521,1.92687,0.15358,0.28697,9.6e-4,0.13249,0.74344,1.15453,8.95454,0.00254,0.00168,6e-5,0.58674
1999-01-06,4.07919,0.09897,0.04737,0.17061,0.32182,0.21356,0.0359,1.18043,0.63972,0.00576,0.00677,4.8282,0.00809,0.85625,0.1054,9.52067,0.18735,0.0219,1.3985,0.38541,15.14805,0.29449,0.06028,0.05114,2.01292,0.16697,1.40043,0.00187,0.21882,2.59692,1.24161,11.41704,0.00313,0.00791,0.00188,1.3229
1999-01-07,1.93172,0.05404,0.04659,0,0.06621,0.03364,0.00915,0.48178,0.50023,0.00577,0.00677,2.48755,0.0077,0.47377,0.10124,2.51956,0.10397,0.0219,1.33951,0.36847,10.17331,0.17747,0.01017,0.05018,1.91585,0.15362,0.29499,0.00126,0.12952,1.07396,1.1423,8.91834,0.00256,0.00996,1.2e-4,0.569
1999-01-08,2.03094,0.05333,0.04585,0,0.05896,0.03394,0.00287,0.46924,0.34925,0.00577,0.00676,3.22818,0.00756,0.46679,0.09738,2.31879,0.10362,0.02192,1.33055,0.36869,9.1098,0.17659,0.01003,0.04923,1.90655,0.1536,0.29228,0.001,0.13023,1.43075,1.13633,8.26266,0.00256,0.00168,6e-5,0.56142
1999-01-09,4.01734,0.0529,0.04514,6.7e-4,0.09948,0.03512,0.01927,0.90594,1.16925,0.00611,0.00676,4.91492,0.00743,0.57985,0.09381,6.82181,0.10527,0.02368,1.32025,0.39515,10.7894,0.17786,0.02357,0.04829,1.89537,0.15372,0.42621,0.00361,0.17229,2.57478,1.13594,10.96995,0.00273,0.00709,6e-5,0.71119
1999-01-10,2.94052,0.05202,0.04447,3e-5,0.08038,0.03347,0.01653,0.55173,1.51533,0.00579,0.00676,3.61899,0.00729,0.4754,0.09052,3.83152,0.10386,0.02194,1.30876,0.38728,10.21531,0.17579,0.01228,0.04736,1.88209,0.15352,0.3643,9.7e-4,0.13411,1.69156,1.12458,8.24738,0.00258,0.00422,6e-5,0.58378
1999-01-11,1.92866,0.05093,0.04382,0,0.06772,0.033,0.00375,0.49612,0.5665,0.00579,0.00676,2.26255,0.00716,0.44821,0.08746,0.40425,0.10237,0.02196,1.29636,0.3714,9.21408,0.17345,0.00959,0.04644,1.86752,0.15346,0.30151,9.7e-4,0.13203,0.75987,1.11862,7.87164,0.00258,0.00168,6e-5,0.54094
1999-01-12,2.90678,0.06064,0.23069,0.031,0.48182,1.36144,0.05978,2.10589,0.84398,0.0082,0.00676,3.95439,0.08768,6.41612,0.08512,0.38354,0.13973,1.71379,1.28337,0.46781,14.98819,0.22276,0.07877,0.04555,1.85234,0.16005,0.76558,0.01098,0.26355,1.13575,8.03833,11.32389,0.00293,0.0037200000000000002,7e-5,6.65707
1999-01-13,2.67267,0.17601,0.82145,0.57318,1.99969,4.01255,0.17084,4.46187,0.76096,0.00857,0.01204,3.10268,0.11497,9.42607,0.0865,0.44204,0.35603,2.0204,1.93429,2.35293,35.89472,0.52059,0.21876,0.0694,2.87266,0.47426,5.03396,9.7e-4,0.40029,0.73317,22.935,15.82712,0.01375,0.00171,0.01076,10.14354
1999-01-14,2.45291,0.25234,3.70183,1.21494,1.98679,12.16885,0.11216,4.86716,0.36953,0.0066,0.0847,2.75493,0.26038,21.8395,0.1366,0.30291,0.43966,3.04322,3.31577,4.44007,66.57109,0.61648,0.31002,0.13967,4.6074,1.86478,9.6644,9.8e-4,0.41252,0.73332,66.9098,16.06173,0.01893,0.00168,0.0204,23.32444
