date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2024-01-01,3.10608,0.09805,0.07611,0.82599,1.56298,0.07082,0.20369,1.33002,1.12576,0.01323,0.09912,4.92734,0.01213,1.18516,0.12832,15.24314,0.26423,0.11565,1.69195,13.87864,88.86937,0.35714,0.06073,0.22229,2.9085,0.25923,21.88684,0.00113,2.49908,1.55503,4.4737,77.70789,0.08747,0.00566,0.00467,1.67403
2024-01-02,3.07328,0.07211,0.04872,0,1.01198,0.01638,0.02284,1.22113,1.11431,0.01315,0.00846,4.83041,0.00569,0.60094,0.12052,0.48986,0.22625,0.08291,1.31955,0.62486,16.93039,0.30253,0.00739,0.07694,2.21625,0.25539,1.14799,0.00107,0.61147,0.88494,3.02327,21.83542,0.02593,0.0055,0.00169,0.9369
2024-01-03,3.05071,0.07117,0.04823,0,0.99239,0.01626,0.02245,1.20979,1.10445,0.01307,0.00847,4.74589,0.0056,0.59246,0.13029,0.62366,0.22099,0.08233,1.31296,0.62501,17.25106,0.29571,0.00729,0.07965,2.2013,0.25488,1.20572,0.00106,0.76357,0.88495,3.00799,26.4322,0.02611,0.00536,0.00167,0.92599
2024-01-04,3.06238,0.07027,0.04775,0,0.9733,0.01614,0.02206,1.19882,1.09516,0.01299,0.00848,4.69861,0.00551,0.58762,0.13726,0.64623,0.2161,0.08176,1.30583,0.62496,17.42686,0.28932,0.00719,0.08176,2.1856,0.25439,1.24009,0.00106,0.8679,0.88492,2.9961700000000002,28.80926,0.02623,0.00522,0.00164,0.918
2024-01-05,3.08542,0.06939,0.04727,0,0.95451,0.01603,0.02168,1.18791,1.08626,0.01291,0.0085,4.66643,0.00543,0.58274,0.14157,0.62709,0.2113,0.08118,1.29794,0.62475,17.48676,0.28309,0.00709,0.08328,2.16878,0.25382,1.25535,0.00106,0.92602,0.8849,2.97433,29.74036,0.02629,0.0051,0.00162,0.90931
2024-01-06,3.18676,0.06853,0.04678,0,0.93582,0.01591,0.02131,1.17697,1.07745,0.01283,0.00851,4.71625,0.00534,0.57784,0.14359,0.5832,0.20654,0.08061,1.28923,0.62442,17.44796,0.27692,0.007,0.08427,2.15072,0.25319,1.25493,0.00106,0.94851,0.88486,2.94794,29.81132,0.02628,0.00497,0.00159,0.9001
2024-01-07,3.22885,0.06769,0.04629,0,0.91752,0.01579,0.02094,1.16598,1.06903,0.01274,0.00852,4.70993,0.00526,0.57301,0.14384,0.53399,0.20202,0.08005,1.27975,0.62394,17.34541,0.27105,0.0069,0.08486,2.13151,0.25253,1.24513,0.00106,0.94691,0.88481,2.92086,29.40159,0.02623,0.00486,0.00155,0.89093
2024-01-08,3.0464,0.06684,0.04579,0,0.89945,0.01568,0.02056,1.15506,1.06101,0.01266,0.00853,4.48115,0.00518,0.56824,0.14269,0.48396,0.19738,0.07949,1.26954,0.62336,17.18883,0.26507,0.00681,0.08504,2.1112,0.25175,1.22644,0.00106,0.92956,0.88474,2.89053,28.71652,0.02612,0.00475,0.00152,0.88163
2024-01-09,3.01621,0.06601,0.04529,0,0.88177,0.01556,0.02019,1.14427,1.05336,0.01256,0.00854,4.41016,0.00511,0.56361000000000006,0.14051,0.43532,0.19295,0.07893,1.25863,0.62268,16.99877,0.25937,0.00672,0.08496,2.08986,0.25097,1.20312,0.00106,0.90275,0.88465,2.86228,27.88623,0.02597,0.00464,0.00148,0.8725
2024-01-10,3.09968,0.06524,0.04479,0,0.86464,0.01544,0.01983,1.13388,1.04612,0.01247,0.00855,4.45508,0.00503,0.55917,0.13768,0.39227,0.18896,0.07837,1.2472,0.62191,16.79237,0.25417,0.00664,0.08468,2.06778,0.25024,1.17957,0.00106,0.87113,0.88456,2.83712,27.00017,0.02578,0.00454,0.00145,0.8638
