date,reservoir,flow
1966-01-01,Bryan_Utilities,1.2266
1966-01-02,Bryan_Utilities,1.1509
1966-01-03,Bryan_Utilities,1.1323
1966-01-04,Bryan_Utilities,2.2332
1966-01-05,Bryan_Utilities,3.0555
1966-01-06,Bryan_Utilities,1.3315
1966-01-07,Bryan_Utilities,3.802
1966-01-08,Bryan_Utilities,1.2411
1966-01-09,Bryan_Utilities,1.1171
1966-01-10,Bryan_Utilities,1.1086
1966-01-11,Bryan_Utilities,1.1067
1966-01-12,Bryan_Utilities,1.1067
1966-01-13,Bryan_Utilities,10.8918
1966-01-14,Bryan_Utilities,15.0483
1966-01-15,Bryan_Utilities,1.7033
1966-01-16,Bryan_Utilities,12.9381
1966-01-17,Bryan_Utilities,2.0058
1966-01-18,Bryan_Utilities,15.2327
1966-01-19,Bryan_Utilities,4.684
1966-01-20,Bryan_Utilities,1.1197
1966-01-21,Bryan_Utilities,1.1159
1966-01-22,Bryan_Utilities,1.1026
1966-01-23,Bryan_Utilities,1.1039
1966-01-24,Bryan_Utilities,1.1049
1966-01-25,Bryan_Utilities,10.8404
1966-01-26,Bryan_Utilities,2.5815
1966-01-27,Bryan_Utilities,1.1125
1966-01-28,Bryan_Utilities,1.1093
1966-01-29,Bryan_Utilities,4.3928
1966-01-30,Bryan_Utilities,1.1104
1966-01-31,Bryan_Utilities,6.7985
1966-02-01,Bryan_Utilities,2.8144
1966-02-02,Bryan_Utilities,1.8756
1966-02-03,Bryan_Utilities,1.2134
1966-02-04,Bryan_Utilities,1.1227
1966-02-05,Bryan_Utilities,1.2002
1966-02-06,Bryan_Utilities,1.1197
1966-02-07,Bryan_Utilities,1.6288
1966-02-08,Bryan_Utilities,1.3988
1966-02-09,Bryan_Utilities,1.9221
1966-02-10,Bryan_Utilities,2.5909
1966-02-11,Bryan_Utilities,1.1341
1966-02-12,Bryan_Utilities,3.4452
1966-02-13,Bryan_Utilities,1.8202
1966-02-14,Bryan_Utilities,1.7144
1966-02-15,Bryan_Utilities,1.4408
1966-02-16,Bryan_Utilities,1.1869
1966-02-17,Bryan_Utilities,2.1568
1966-02-18,Bryan_Utilities,9.4178
1966-02-19,Bryan_Utilities,13.0023
1966-02-20,Bryan_Utilities,4.0128
1966-02-21,Bryan_Utilities,3.2451
1966-02-22,Bryan_Utilities,1.6082
1966-02-23,Bryan_Utilities,1.1382
1966-02-24,Bryan_Utilities,1.14
1966-02-25,Bryan_Utilities,1.1411
1966-02-26,Bryan_Utilities,1.1418
1966-02-27,Bryan_Utilities,1.1415
1966-02-28,Bryan_Utilities,1.1408
1966-03-01,Bryan_Utilities,1.142
1966-03-02,Bryan_Utilities,1.186
1966-03-03,Bryan_Utilities,1.1372
1966-03-04,Bryan_Utilities,1.1426
1966-03-05,Bryan_Utilities,1.1337
1966-03-06,Bryan_Utilities,1.1319
1966-03-07,Bryan_Utilities,1.13
1966-03-08,Bryan_Utilities,1.1296
1966-03-09,Bryan_Utilities,1.1265
1966-03-10,Bryan_Utilities,1.1242
