date,reservoir,flow
1966-01-01,Mountain_Creek,0.0896
1966-01-02,Mountain_Creek,0.0886
1966-01-03,Mountain_Creek,0.0879
1966-01-04,Mountain_Creek,0.0879
1966-01-05,Mountain_Creek,0.0878
1966-01-06,Mountain_Creek,0.0877
1966-01-07,Mountain_Creek,0.0876
1966-01-08,Mountain_Creek,0.0875
1966-01-09,Mountain_Creek,0.0874
1966-01-10,Mountain_Creek,0.0874
1966-01-11,Mountain_Creek,0.0873
1966-01-12,Mountain_Creek,0.0872
1966-01-13,Mountain_Creek,0.172
1966-01-14,Mountain_Creek,0.419
1966-01-15,Mountain_Creek,0.087
1966-01-16,Mountain_Creek,0.1994
1966-01-17,Mountain_Creek,0.0877
1966-01-18,Mountain_Creek,0.2241
1966-01-19,Mountain_Creek,0.2704
1966-01-20,Mountain_Creek,0.0878
1966-01-21,Mountain_Creek,0.0866
1966-01-22,Mountain_Creek,0.0865
1966-01-23,Mountain_Creek,0.0864
1966-01-24,Mountain_Creek,0.0864
1966-01-25,Mountain_Creek,0.776
1966-01-26,Mountain_Creek,0.0946
1966-01-27,Mountain_Creek,0.0863
1966-01-28,Mountain_Creek,0.0863
1966-01-29,Mountain_Creek,0.178
1966-01-30,Mountain_Creek,0.0863
1966-01-31,Mountain_Creek,0.1542
1966-02-01,Mountain_Creek,0.155
1966-02-02,Mountain_Creek,0.0862
1966-02-03,Mountain_Creek,0.0862
1966-02-04,Mountain_Creek,0.0862
1966-02-05,Mountain_Creek,0.0892
1966-02-06,Mountain_Creek,0.0862
1966-02-07,Mountain_Creek,0.0864
1966-02-08,Mountain_Creek,0.0872
1966-02-09,Mountain_Creek,0.0861
1966-02-10,Mountain_Creek,0.0862
1966-02-11,Mountain_Creek,0.086
1966-02-12,Mountain_Creek,0.2138
1966-02-13,Mountain_Creek,0.1111
1966-02-14,Mountain_Creek,0.1322
1966-02-15,Mountain_Creek,0.0862
1966-02-16,Mountain_Creek,0.1113
1966-02-17,Mountain_Creek,0.089
1966-02-18,Mountain_Creek,0.7664
1966-02-19,Mountain_Creek,0.0872
1966-02-20,Mountain_Creek,0.0958
1966-02-21,Mountain_Creek,0.2746
1966-02-22,Mountain_Creek,0.1778
1966-02-23,Mountain_Creek,0.0861
1966-02-24,Mountain_Creek,0.0862
1966-02-25,Mountain_Creek,0.0862
1966-02-26,Mountain_Creek,0.0862
1966-02-27,Mountain_Creek,0.0863
1966-02-28,Mountain_Creek,0.0863
1966-03-01,Mountain_Creek,0.0864
1966-03-02,Mountain_Creek,0.0862
1966-03-03,Mountain_Creek,0.0862
1966-03-04,Mountain_Creek,0.0863
1966-03-05,Mountain_Creek,0.0862
1966-03-06,Mountain_Creek,0.0861
1966-03-07,Mountain_Creek,0.0861
1966-03-08,Mountain_Creek,0.0861
1966-03-09,Mountain_Creek,0.1058
1966-03-10,Mountain_Creek,0.0859
1966-03-11,Mountain_Creek,0.0858
1966-03-12,Mountain_Creek,0.0858
1966-03-13,Mountain_Creek,0.0857
1966-03-14,Mountain_Creek,0.0856
1966-03-15,Mountain_Creek,0.0856
1966-03-16,Mountain_Creek,0.0855
1966-03-17,Mountain_Creek,0.0854
1966-03-18,Mountain_Creek,0.0853
1966-03-19,Mountain_Creek,0.0853
1966-03-20,Mountain_Creek,0.0852
1966-03-21,Mountain_Creek,0.0851
1966-03-22,Mountain_Creek,0.085
1966-03-23,Mountain_Creek,0.085
1966-03-24,Mountain_Creek,0.0849
1966-03-25,Mountain_Creek,0.0848
1966-03-26,Mountain_Creek,0.0859
1966-03-27,Mountain_Creek,0.1926
1966-03-28,Mountain_Creek,0.0846
1966-03-29,Mountain_Creek,0.0906
1966-03-30,Mountain_Creek,0.0847
1966-03-31,Mountain_Creek,0.0844
1966-04-01,Mountain_Creek,0.0843
1966-04-02,Mountain_Creek,0.0842
1966-04-03,Mountain_Creek,0.0842
1966-04-04,Mountain_Creek,0.0841
1966-04-05,Mountain_Creek,0.084
1966-04-06,Mountain_Creek,0.0839
1966-04-07,Mountain_Creek,0.0863
1966-04-08,Mountain_Creek,0.1974
1966-04-09,Mountain_Creek,0.3244
1966-04-10,Mountain_Creek,0.0843
1966-04-11,Mountain_Creek,0.6714
1966-04-12,Mountain_Creek,0.101
1966-04-13,Mountain_Creek,0.0834
1966-04-14,Mountain_Creek,0.0834
1966-04-15,Mountain_Creek,0.1053
1966-04-16,Mountain_Creek,0.3145
1966-04-17,Mountain_Creek,0.0833
1966-04-18,Mountain_Creek,0.0835
1966-04-19,Mountain_Creek,0.0911
1966-04-20,Mountain_Creek,0.3137
1966-04-21,Mountain_Creek,0.0829
1966-04-22,Mountain_Creek,0.0829
1966-04-23,Mountain_Creek,0.0828
1966-04-24,Mountain_Creek,0.0827
1966-04-25,Mountain_Creek,0.0827
1966-04-26,Mountain_Creek,0.0826
1966-04-27,Mountain_Creek,0.0826
1966-04-28,Mountain_Creek,0.3183
1966-04-29,Mountain_Creek,0.8129
1966-04-30,Mountain_Creek,0.0824
1966-05-01,Mountain_Creek,0.0824
1966-05-02,Mountain_Creek,0.0823
1966-05-03,Mountain_Creek,0.0823
1966-05-04,Mountain_Creek,0.0822
1966-05-05,Mountain_Creek,0.1567
1966-05-06,Mountain_Creek,0.0832
1966-05-07,Mountain_Creek,0.0855
1966-05-08,Mountain_Creek,0.082
1966-05-09,Mountain_Creek,0.0819
1966-05-10,Mountain_Creek,0.0818
1966-05-11,Mountain_Creek,0.0914
1966-05-12,Mountain_Creek,0.0819
1966-05-13,Mountain_Creek,0.0827
1966-05-14,Mountain_Creek,0.6881
1966-05-15,Mountain_Creek,0.4342
1966-05-16,Mountain_Creek,0.1054
1966-05-17,Mountain_Creek,0.0835
1966-05-18,Mountain_Creek,0.0849
1966-05-19,Mountain_Creek,0.11
1966-05-20,Mountain_Creek,0.1645
1966-05-21,Mountain_Creek,0.139
1966-05-22,Mountain_Creek,0.0866
1966-05-23,Mountain_Creek,0.0816
1966-05-24,Mountain_Creek,0.0813
1966-05-25,Mountain_Creek,0.5385
1966-05-26,Mountain_Creek,0.4752
1966-05-27,Mountain_Creek,0.2476
1966-05-28,Mountain_Creek,0.081
1966-05-29,Mountain_Creek,0.0809
1966-05-30,Mountain_Creek,0.0809
1966-05-31,Mountain_Creek,0.0808
1966-06-01,Mountain_Creek,0.0808
1966-06-02,Mountain_Creek,0.0807
1966-06-03,Mountain_Creek,0.0808
1966-06-04,Mountain_Creek,0.0847
1966-06-05,Mountain_Creek,0.0807
1966-06-06,Mountain_Creek,0.0805
1966-06-07,Mountain_Creek,0.0804
1966-06-08,Mountain_Creek,0.0803
1966-06-09,Mountain_Creek,0.0881
1966-06-10,Mountain_Creek,0.0832
1966-06-11,Mountain_Creek,0.4548
1966-06-12,Mountain_Creek,0.1244
1966-06-13,Mountain_Creek,0.0802
1966-06-14,Mountain_Creek,0.08
1966-06-15,Mountain_Creek,0.0799
1966-06-16,Mountain_Creek,0.0802
1966-06-17,Mountain_Creek,0.0798
1966-06-18,Mountain_Creek,0.0797
1966-06-19,Mountain_Creek,0.0796
1966-06-20,Mountain_Creek,0.0795
1966-06-21,Mountain_Creek,0.0795
1966-06-22,Mountain_Creek,0.0793
1966-06-23,Mountain_Creek,0.0793
1966-06-24,Mountain_Creek,0.0792
1966-06-25,Mountain_Creek,0.0791
1966-06-26,Mountain_Creek,0.079
1966-06-27,Mountain_Creek,0.079
1966-06-28,Mountain_Creek,0.0789
1966-06-29,Mountain_Creek,0.0788
1966-06-30,Mountain_Creek,0.0788
1966-07-01,Mountain_Creek,0.0787
1966-07-02,Mountain_Creek,0.0786
1966-07-03,Mountain_Creek,0.0786
1966-07-04,Mountain_Creek,0.0785
1966-07-05,Mountain_Creek,0.0784
1966-07-06,Mountain_Creek,0.0804
1966-07-07,Mountain_Creek,0.0783
1966-07-08,Mountain_Creek,0.0782
1966-07-09,Mountain_Creek,0.0782
1966-07-10,Mountain_Creek,0.0781
1966-07-11,Mountain_Creek,0.0801
1966-07-12,Mountain_Creek,0.0783
1966-07-13,Mountain_Creek,0.0779
1966-07-14,Mountain_Creek,0.0976
1966-07-15,Mountain_Creek,0.1845
1966-07-16,Mountain_Creek,0.1316
1966-07-17,Mountain_Creek,0.0896
1966-07-18,Mountain_Creek,0.1732
1966-07-19,Mountain_Creek,0.0775
1966-07-20,Mountain_Creek,0.0774
1966-07-21,Mountain_Creek,0.0774
1966-07-22,Mountain_Creek,0.1
1966-07-23,Mountain_Creek,0.0772
1966-07-24,Mountain_Creek,0.0785
1966-07-25,Mountain_Creek,0.0771
1966-07-26,Mountain_Creek,0.077
1966-07-27,Mountain_Creek,0.0777
1966-07-28,Mountain_Creek,0.0769
1966-07-29,Mountain_Creek,0.0768
1966-07-30,Mountain_Creek,0.0767
1966-07-31,Mountain_Creek,0.0767
1966-08-01,Mountain_Creek,0.0766
1966-08-02,Mountain_Creek,0.0765
1966-08-03,Mountain_Creek,0.0765
1966-08-04,Mountain_Creek,0.0764
1966-08-05,Mountain_Creek,0.0763
1966-08-06,Mountain_Creek,0.0763
1966-08-07,Mountain_Creek,0.0763
1966-08-08,Mountain_Creek,0.0769
1966-08-09,Mountain_Creek,0.0761
1966-08-10,Mountain_Creek,0.076
1966-08-11,Mountain_Creek,0.0759
1966-08-12,Mountain_Creek,0.0759
1966-08-13,Mountain_Creek,0.0758
1966-08-14,Mountain_Creek,0.0758
1966-08-15,Mountain_Creek,0.0757
1966-08-16,Mountain_Creek,0.0756
1966-08-17,Mountain_Creek,0.0756
1966-08-18,Mountain_Creek,0.0755
1966-08-19,Mountain_Creek,0.0754
1966-08-20,Mountain_Creek,0.0761
1966-08-21,Mountain_Creek,0.0753
1966-08-22,Mountain_Creek,0.0752
1966-08-23,Mountain_Creek,0.0752
1966-08-24,Mountain_Creek,0.0751
1966-08-25,Mountain_Creek,0.075
1966-08-26,Mountain_Creek,0.075
1966-08-27,Mountain_Creek,0.0749
1966-08-28,Mountain_Creek,0.0748
1966-08-29,Mountain_Creek,0.0748
1966-08-30,Mountain_Creek,0.0747
1966-08-31,Mountain_Creek,0.0746
1966-09-01,Mountain_Creek,0.0746
1966-09-02,Mountain_Creek,0.0745
1966-09-03,Mountain_Creek,0.0744
1966-09-04,Mountain_Creek,0.0744
1966-09-05,Mountain_Creek,0.0866
1966-09-06,Mountain_Creek,0.3494
1966-09-07,Mountain_Creek,0.3285
1966-09-08,Mountain_Creek,0.0744
1966-09-09,Mountain_Creek,0.0741
1966-09-10,Mountain_Creek,0.074
1966-09-11,Mountain_Creek,0.0739
1966-09-12,Mountain_Creek,0.0741
1966-09-13,Mountain_Creek,0.0738
1966-09-14,Mountain_Creek,0.0738
1966-09-15,Mountain_Creek,0.0737
1966-09-16,Mountain_Creek,0.0736
1966-09-17,Mountain_Creek,0.0736
1966-09-18,Mountain_Creek,0.0735
1966-09-19,Mountain_Creek,0.0734
1966-09-20,Mountain_Creek,0.0739
1966-09-21,Mountain_Creek,0.0733
1966-09-22,Mountain_Creek,0.0732
1966-09-23,Mountain_Creek,0.0732
1966-09-24,Mountain_Creek,0.0731
1966-09-25,Mountain_Creek,0.073
1966-09-26,Mountain_Creek,0.073
1966-09-27,Mountain_Creek,0.0751
1966-09-28,Mountain_Creek,0.0728
1966-09-29,Mountain_Creek,0.0728
1966-09-30,Mountain_Creek,0.0727
1966-10-01,Mountain_Creek,0.0727
1966-10-02,Mountain_Creek,0.0726
1966-10-03,Mountain_Creek,0.0725
1966-10-04,Mountain_Creek,0.0725
1966-10-05,Mountain_Creek,0.0841
1966-10-06,Mountain_Creek,0.1395
1966-10-07,Mountain_Creek,0.1566
1966-10-08,Mountain_Creek,0.0722
1966-10-09,Mountain_Creek,0.0722
1966-10-10,Mountain_Creek,0.0721
1966-10-11,Mountain_Creek,0.072
1966-10-12,Mountain_Creek,0.072
1966-10-13,Mountain_Creek,0.0719
1966-10-14,Mountain_Creek,0.0718
1966-10-15,Mountain_Creek,0.0718
1966-10-16,Mountain_Creek,0.0717
1966-10-17,Mountain_Creek,0.0717
1966-10-18,Mountain_Creek,0.0716
1966-10-19,Mountain_Creek,0.0716
1966-10-20,Mountain_Creek,0.0715
1966-10-21,Mountain_Creek,0.0714
1966-10-22,Mountain_Creek,0.0714
1966-10-23,Mountain_Creek,0.0713
1966-10-24,Mountain_Creek,0.0712
1966-10-25,Mountain_Creek,0.0715
1966-10-26,Mountain_Creek,0.0711
1966-10-27,Mountain_Creek,0.0711
1966-10-28,Mountain_Creek,0.0762
1966-10-29,Mountain_Creek,0.0709
1966-10-30,Mountain_Creek,0.0709
1966-10-31,Mountain_Creek,0.0708
1966-11-01,Mountain_Creek,0.0708
1966-11-02,Mountain_Creek,0.0708
1966-11-03,Mountain_Creek,0.0709
1966-11-04,Mountain_Creek,0.0706
1966-11-05,Mountain_Creek,0.0706
1966-11-06,Mountain_Creek,0.0707
1966-11-07,Mountain_Creek,0.0833
1966-11-08,Mountain_Creek,0.0742
1966-11-09,Mountain_Creek,0.0706
1966-11-10,Mountain_Creek,0.0702
1966-11-11,Mountain_Creek,0.2441
1966-11-12,Mountain_Creek,0.0701
1966-11-13,Mountain_Creek,0.1742
1966-11-14,Mountain_Creek,0.071
1966-11-15,Mountain_Creek,0.0699
1966-11-16,Mountain_Creek,0.5148
1966-11-17,Mountain_Creek,0.0699
1966-11-18,Mountain_Creek,0.0697
1966-11-19,Mountain_Creek,0.0697
1966-11-20,Mountain_Creek,0.0696
1966-11-21,Mountain_Creek,0.0696
1966-11-22,Mountain_Creek,0.0695
1966-11-23,Mountain_Creek,0.0694
1966-11-24,Mountain_Creek,0.0694
1966-11-25,Mountain_Creek,0.0704
1966-11-26,Mountain_Creek,0.0693
1966-11-27,Mountain_Creek,0.0692
1966-11-28,Mountain_Creek,0.0697
1966-11-29,Mountain_Creek,0.0697
1966-11-30,Mountain_Creek,0.2204
1966-12-01,Mountain_Creek,0.375
1966-12-02,Mountain_Creek,0.0708
1966-12-03,Mountain_Creek,0.0689
1966-12-04,Mountain_Creek,0.0727
1966-12-05,Mountain_Creek,0.0722
1966-12-06,Mountain_Creek,0.0687
1966-12-07,Mountain_Creek,0.0686
1966-12-08,Mountain_Creek,0.1246
1966-12-09,Mountain_Creek,0.0685
1966-12-10,Mountain_Creek,0.0685
1966-12-11,Mountain_Creek,0.0693
1966-12-12,Mountain_Creek,0.1265
1966-12-13,Mountain_Creek,0.0683
1966-12-14,Mountain_Creek,0.0682
1966-12-15,Mountain_Creek,0.0778
1966-12-16,Mountain_Creek,0.125
1966-12-17,Mountain_Creek,0.0746
1966-12-18,Mountain_Creek,0.0681
1966-12-19,Mountain_Creek,0.0679
1966-12-20,Mountain_Creek,0.0679
1966-12-21,Mountain_Creek,0.0678
1966-12-22,Mountain_Creek,0.0678
1966-12-23,Mountain_Creek,0.0677
1966-12-24,Mountain_Creek,0.0677
1966-12-25,Mountain_Creek,0.0687
1966-12-26,Mountain_Creek,0.0676
1966-12-27,Mountain_Creek,0.0675
1966-12-28,Mountain_Creek,0.0674
1966-12-29,Mountain_Creek,0.0674
1966-12-30,Mountain_Creek,0.0674
1966-12-31,Mountain_Creek,0.2206
1967-01-01,Mountain_Creek,0.479
1967-01-02,Mountain_Creek,0.1663
1967-01-03,Mountain_Creek,0.097
1967-01-04,Mountain_Creek,0.0672
1967-01-05,Mountain_Creek,0.0681
1967-01-06,Mountain_Creek,0.067
1967-01-07,Mountain_Creek,0.0669
1967-01-08,Mountain_Creek,0.0669
1967-01-09,Mountain_Creek,0.0683
1967-01-10,Mountain_Creek,0.0668
1967-01-11,Mountain_Creek,0.2171
1967-01-12,Mountain_Creek,1.0785
1967-01-13,Mountain_Creek,0.3279
1967-01-14,Mountain_Creek,0.0673
1967-01-15,Mountain_Creek,0.0794
1967-01-16,Mountain_Creek,0.2106
1967-01-17,Mountain_Creek,0.2742
1967-01-18,Mountain_Creek,0.1011
1967-01-19,Mountain_Creek,0.0678
1967-01-20,Mountain_Creek,0.0693
1967-01-21,Mountain_Creek,0.07
1967-01-22,Mountain_Creek,0.0752
1967-01-23,Mountain_Creek,0.0688
1967-01-24,Mountain_Creek,0.3604
1967-01-25,Mountain_Creek,0.1254
1967-01-26,Mountain_Creek,0.4784
1967-01-27,Mountain_Creek,0.0833
1967-01-28,Mountain_Creek,0.0924
1967-01-29,Mountain_Creek,0.1318
1967-01-30,Mountain_Creek,0.0735
1967-01-31,Mountain_Creek,0.0745
1967-02-01,Mountain_Creek,0.0715
1967-02-02,Mountain_Creek,0.0698
1967-02-03,Mountain_Creek,0.0699
1967-02-04,Mountain_Creek,0.0701
1967-02-05,Mountain_Creek,0.07
1967-02-06,Mountain_Creek,0.0701
1967-02-07,Mountain_Creek,0.0701
1967-02-08,Mountain_Creek,0.0702
1967-02-09,Mountain_Creek,0.0702
1967-02-10,Mountain_Creek,0.0702
1967-02-11,Mountain_Creek,0.0711
1967-02-12,Mountain_Creek,0.2549
1967-02-13,Mountain_Creek,0.0702
1967-02-14,Mountain_Creek,0.0702
1967-02-15,Mountain_Creek,0.0702
1967-02-16,Mountain_Creek,0.0704
1967-02-17,Mountain_Creek,0.0862
1967-02-18,Mountain_Creek,0.0703
1967-02-19,Mountain_Creek,0.0702
1967-02-20,Mountain_Creek,0.0705
1967-02-21,Mountain_Creek,0.1023
1967-02-22,Mountain_Creek,0.1304
1967-02-23,Mountain_Creek,0.0701
1967-02-24,Mountain_Creek,0.0701
1967-02-25,Mountain_Creek,0.0705
1967-02-26,Mountain_Creek,0.0716
1967-02-27,Mountain_Creek,0.0749
1967-02-28,Mountain_Creek,0.2652
1967-03-01,Mountain_Creek,0.0708
1967-03-02,Mountain_Creek,0.07
1967-03-03,Mountain_Creek,0.0756
1967-03-04,Mountain_Creek,0.0724
1967-03-05,Mountain_Creek,0.0955
1967-03-06,Mountain_Creek,0.1298
1967-03-07,Mountain_Creek,0.0923
1967-03-08,Mountain_Creek,0.1695
1967-03-09,Mountain_Creek,0.5478
1967-03-10,Mountain_Creek,0.0744
1967-03-11,Mountain_Creek,0.0696
1967-03-12,Mountain_Creek,0.0699
1967-03-13,Mountain_Creek,0.0786
1967-03-14,Mountain_Creek,0.0765
1967-03-15,Mountain_Creek,0.0696
1967-03-16,Mountain_Creek,0.0696
1967-03-17,Mountain_Creek,0.0699
1967-03-18,Mountain_Creek,0.4839
1967-03-19,Mountain_Creek,0.0695
1967-03-20,Mountain_Creek,0.0695
1967-03-21,Mountain_Creek,1.1308
1967-03-22,Mountain_Creek,0.1073
1967-03-23,Mountain_Creek,0.0701
1967-03-24,Mountain_Creek,0.0703
1967-03-25,Mountain_Creek,0.0705
1967-03-26,Mountain_Creek,0.7802
1967-03-27,Mountain_Creek,0.071
1967-03-28,Mountain_Creek,0.0715
1967-03-29,Mountain_Creek,0.0719
1967-03-30,Mountain_Creek,0.0722
1967-03-31,Mountain_Creek,0.0723
1967-04-01,Mountain_Creek,0.0724
1967-04-02,Mountain_Creek,0.0725
1967-04-03,Mountain_Creek,0.0725
1967-04-04,Mountain_Creek,0.0724
1967-04-05,Mountain_Creek,0.0724
1967-04-06,Mountain_Creek,0.0723
1967-04-07,Mountain_Creek,0.0723
1967-04-08,Mountain_Creek,0.0722
1967-04-09,Mountain_Creek,0.0721
