date,reservoir,flow
1966-01-01,Ray_Hubbard,0.4316
1966-01-02,Ray_Hubbard,0.4326
1966-01-03,Ray_Hubbard,0.4271
1966-01-04,Ray_Hubbard,0.4267
1966-01-05,Ray_Hubbard,0.4262
1966-01-06,Ray_Hubbard,0.4257
1966-01-07,Ray_Hubbard,0.4254
1966-01-08,Ray_Hubbard,0.4247
1966-01-09,Ray_Hubbard,0.4242
1966-01-10,Ray_Hubbard,0.4241
1966-01-11,Ray_Hubbard,0.4233
1966-01-12,Ray_Hubbard,0.4228
1966-01-13,Ray_Hubbard,0.5797
1966-01-14,Ray_Hubbard,3.5428
1966-01-15,Ray_Hubbard,0.7497
1966-01-16,Ray_Hubbard,0.804
1966-01-17,Ray_Hubbard,0.4263
1966-01-18,Ray_Hubbard,0.5799
1966-01-19,Ray_Hubbard,1.3887
1966-01-20,Ray_Hubbard,0.424
1966-01-21,Ray_Hubbard,0.4191
1966-01-22,Ray_Hubbard,0.4181
1966-01-23,Ray_Hubbard,0.4176
1966-01-24,Ray_Hubbard,0.4171
1966-01-25,Ray_Hubbard,6.1247
1966-01-26,Ray_Hubbard,0.9486
1966-01-27,Ray_Hubbard,0.4192
1966-01-28,Ray_Hubbard,0.4152
1966-01-29,Ray_Hubbard,2.056
1966-01-30,Ray_Hubbard,0.4143
1966-01-31,Ray_Hubbard,0.5943
1966-02-01,Ray_Hubbard,0.4519
1966-02-02,Ray_Hubbard,0.4129
1966-02-03,Ray_Hubbard,0.4125
1966-02-04,Ray_Hubbard,0.412
1966-02-05,Ray_Hubbard,0.4755
1966-02-06,Ray_Hubbard,0.4111
1966-02-07,Ray_Hubbard,0.4217
1966-02-08,Ray_Hubbard,0.4119
1966-02-09,Ray_Hubbard,0.4097
1966-02-10,Ray_Hubbard,0.4107
1966-02-11,Ray_Hubbard,0.4088
1966-02-12,Ray_Hubbard,0.5757
1966-02-13,Ray_Hubbard,0.6078
1966-02-14,Ray_Hubbard,0.5685
