date,reservoir,flow
1966-01-01,South_Texas_Project_Reservoir,5.1e-4
1966-01-02,South_Texas_Project_Reservoir,4.7e-4
1966-01-03,South_Texas_Project_Reservoir,0.00257
1966-01-04,South_Texas_Project_Reservoir,0.01077
1966-01-05,South_Texas_Project_Reservoir,4.7e-4
1966-01-06,South_Texas_Project_Reservoir,0.00876
1966-01-07,South_Texas_Project_Reservoir,0.01776
1966-01-08,South_Texas_Project_Reservoir,0.01242
1966-01-09,South_Texas_Project_Reservoir,5.2e-4
1966-01-10,South_Texas_Project_Reservoir,5e-4
1966-01-11,South_Texas_Project_Reservoir,5e-4
1966-01-12,South_Texas_Project_Reservoir,5.1e-4
1966-01-13,South_Texas_Project_Reservoir,5.1e-4
1966-01-14,South_Texas_Project_Reservoir,0.08263
1966-01-15,South_Texas_Project_Reservoir,0.00714
1966-01-16,South_Texas_Project_Reservoir,0.0027
1966-01-17,South_Texas_Project_Reservoir,0.00631
1966-01-18,South_Texas_Project_Reservoir,0.00908
1966-01-19,South_Texas_Project_Reservoir,0.01195
1966-01-20,South_Texas_Project_Reservoir,0.0023
1966-01-21,South_Texas_Project_Reservoir,6e-4
1966-01-22,South_Texas_Project_Reservoir,6e-4
1966-01-23,South_Texas_Project_Reservoir,6e-4
1966-01-24,South_Texas_Project_Reservoir,6e-4
1966-01-25,South_Texas_Project_Reservoir,0.02593
1966-01-26,South_Texas_Project_Reservoir,6.1e-4
1966-01-27,South_Texas_Project_Reservoir,6.1e-4
1966-01-28,South_Texas_Project_Reservoir,6.1e-4
1966-01-29,South_Texas_Project_Reservoir,0.02638
1966-01-30,South_Texas_Project_Reservoir,0.00242
1966-01-31,South_Texas_Project_Reservoir,0.00653
1966-02-01,South_Texas_Project_Reservoir,0.00476
1966-02-02,South_Texas_Project_Reservoir,6.4e-4
1966-02-03,South_Texas_Project_Reservoir,0.01466
1966-02-04,South_Texas_Project_Reservoir,0.01172
1966-02-05,South_Texas_Project_Reservoir,0.00185
1966-02-06,South_Texas_Project_Reservoir,0.00155
1966-02-07,South_Texas_Project_Reservoir,0.00204
1966-02-08,South_Texas_Project_Reservoir,0.00287
1966-02-09,South_Texas_Project_Reservoir,0.00151
1966-02-10,South_Texas_Project_Reservoir,0.00519
1966-02-11,South_Texas_Project_Reservoir,0.00252
1966-02-12,South_Texas_Project_Reservoir,0.00242
1966-02-13,South_Texas_Project_Reservoir,9.4e-4
1966-02-14,South_Texas_Project_Reservoir,6.9e-4
1966-02-15,South_Texas_Project_Reservoir,6.9e-4
1966-02-16,South_Texas_Project_Reservoir,6.9e-4
1966-02-17,South_Texas_Project_Reservoir,0.00112
1966-02-18,South_Texas_Project_Reservoir,0.00104
1966-02-19,South_Texas_Project_Reservoir,6.9e-4
1966-02-20,South_Texas_Project_Reservoir,8e-4
1966-02-21,South_Texas_Project_Reservoir,0.00121
1966-02-22,South_Texas_Project_Reservoir,0.00948
1966-02-23,South_Texas_Project_Reservoir,6.8e-4
1966-02-24,South_Texas_Project_Reservoir,6.8e-4
1966-02-25,South_Texas_Project_Reservoir,6.8e-4
1966-02-26,South_Texas_Project_Reservoir,6.8e-4
1966-02-27,South_Texas_Project_Reservoir,6.8e-4
1966-02-28,South_Texas_Project_Reservoir,6.8e-4
1966-03-01,South_Texas_Project_Reservoir,6.8e-4
1966-03-02,South_Texas_Project_Reservoir,6.8e-4
1966-03-03,South_Texas_Project_Reservoir,6.7e-4
1966-03-04,South_Texas_Project_Reservoir,6.7e-4
1966-03-05,South_Texas_Project_Reservoir,6.7e-4
1966-03-06,South_Texas_Project_Reservoir,6.7e-4
1966-03-07,South_Texas_Project_Reservoir,6.7e-4
1966-03-08,South_Texas_Project_Reservoir,6.7e-4
1966-03-09,South_Texas_Project_Reservoir,6.8e-4
1966-03-10,South_Texas_Project_Reservoir,6.6e-4
1966-03-11,South_Texas_Project_Reservoir,6.6e-4
1966-03-12,South_Texas_Project_Reservoir,6.8e-4
1966-03-13,South_Texas_Project_Reservoir,6.6e-4
1966-03-14,South_Texas_Project_Reservoir,8.1e-4
1966-03-15,South_Texas_Project_Reservoir,0.00147
1966-03-16,South_Texas_Project_Reservoir,6.5e-4
1966-03-17,South_Texas_Project_Reservoir,6.5e-4
1966-03-18,South_Texas_Project_Reservoir,6.5e-4
1966-03-19,South_Texas_Project_Reservoir,6.4e-4
1966-03-20,South_Texas_Project_Reservoir,6.4e-4
1966-03-21,South_Texas_Project_Reservoir,6.4e-4
1966-03-22,South_Texas_Project_Reservoir,6.4e-4
1966-03-23,South_Texas_Project_Reservoir,6.3e-4
1966-03-24,South_Texas_Project_Reservoir,6.6e-4
1966-03-25,South_Texas_Project_Reservoir,6.8e-4
1966-03-26,South_Texas_Project_Reservoir,6.3e-4
1966-03-27,South_Texas_Project_Reservoir,0.00438
1966-03-28,South_Texas_Project_Reservoir,6.4e-4
1966-03-29,South_Texas_Project_Reservoir,0.00234
1966-03-30,South_Texas_Project_Reservoir,0.00224
1966-03-31,South_Texas_Project_Reservoir,6.2e-4
1966-04-01,South_Texas_Project_Reservoir,6.1e-4
1966-04-02,South_Texas_Project_Reservoir,6.1e-4
1966-04-03,South_Texas_Project_Reservoir,6.1e-4
1966-04-04,South_Texas_Project_Reservoir,6e-4
1966-04-05,South_Texas_Project_Reservoir,6.2e-4
1966-04-06,South_Texas_Project_Reservoir,6e-4
1966-04-07,South_Texas_Project_Reservoir,0.00136
1966-04-08,South_Texas_Project_Reservoir,6.4e-4
1966-04-09,South_Texas_Project_Reservoir,0.00341
1966-04-10,South_Texas_Project_Reservoir,0.0063
1966-04-11,South_Texas_Project_Reservoir,0.00844
1966-04-12,South_Texas_Project_Reservoir,6.3e-4
1966-04-13,South_Texas_Project_Reservoir,6e-4
1966-04-14,South_Texas_Project_Reservoir,6.1e-4
1966-04-15,South_Texas_Project_Reservoir,0.0052
1966-04-16,South_Texas_Project_Reservoir,5.9e-4
1966-04-17,South_Texas_Project_Reservoir,5.7e-4
1966-04-18,South_Texas_Project_Reservoir,5.7e-4
1966-04-19,South_Texas_Project_Reservoir,6e-4
1966-04-20,South_Texas_Project_Reservoir,0.00258
1966-04-21,South_Texas_Project_Reservoir,5.6e-4
1966-04-22,South_Texas_Project_Reservoir,5.6e-4
1966-04-23,South_Texas_Project_Reservoir,5.6e-4
1966-04-24,South_Texas_Project_Reservoir,5.5e-4
1966-04-25,South_Texas_Project_Reservoir,5.5e-4
1966-04-26,South_Texas_Project_Reservoir,5.4e-4
1966-04-27,South_Texas_Project_Reservoir,5.7e-4
1966-04-28,South_Texas_Project_Reservoir,0.02682
1966-04-29,South_Texas_Project_Reservoir,0.00754
1966-04-30,South_Texas_Project_Reservoir,0.00327
1966-05-01,South_Texas_Project_Reservoir,0.02899
1966-05-02,South_Texas_Project_Reservoir,5.4e-4
1966-05-03,South_Texas_Project_Reservoir,5.4e-4
1966-05-04,South_Texas_Project_Reservoir,5.4e-4
1966-05-05,South_Texas_Project_Reservoir,0.04361
1966-05-06,South_Texas_Project_Reservoir,0.04821
1966-05-07,South_Texas_Project_Reservoir,5.8e-4
1966-05-08,South_Texas_Project_Reservoir,0.01842
