date,reservoir,flow
1966-01-01,Texoma,1.00316
1966-01-02,Texoma,0.88236
1966-01-03,Texoma,0.85409
1966-01-04,Texoma,0.99535
1966-01-05,Texoma,1.23155
1966-01-06,Texoma,0.86547
1966-01-07,Texoma,0.84544
1966-01-08,Texoma,0.91279
1966-01-09,Texoma,0.9502
1966-01-10,Texoma,0.83845
1966-01-11,Texoma,0.83164
1966-01-12,Texoma,0.82997
1966-01-13,Texoma,8.1088
1966-01-14,Texoma,4.53578
1966-01-15,Texoma,8.70185
1966-01-16,Texoma,13.17965
1966-01-17,Texoma,3.12426
1966-01-18,Texoma,6.58229
1966-01-19,Texoma,9.30715
1966-01-20,Texoma,1.1029
1966-01-21,Texoma,0.86576
1966-01-22,Texoma,0.81322
1966-01-23,Texoma,0.81076
1966-01-24,Texoma,0.80904
1966-01-25,Texoma,23.67352
1966-01-26,Texoma,18.0999
1966-01-27,Texoma,2.05169
1966-01-28,Texoma,6.65707
1966-01-29,Texoma,4.49526
1966-01-30,Texoma,0.79972
1966-01-31,Texoma,0.80166
1966-02-01,Texoma,0.80058
1966-02-02,Texoma,0.83016
1966-02-03,Texoma,1.31482
1966-02-04,Texoma,0.80112
1966-02-05,Texoma,1.31224
1966-02-06,Texoma,0.7888
1966-02-07,Texoma,0.82044
1966-02-08,Texoma,0.80531
1966-02-09,Texoma,0.87155
1966-02-10,Texoma,0.97715
1966-02-11,Texoma,0.78889
1966-02-12,Texoma,1.34848
1966-02-13,Texoma,1.00537
1966-02-14,Texoma,3.83562
1966-02-15,Texoma,1.60655
1966-02-16,Texoma,0.78112
1966-02-17,Texoma,0.80331
1966-02-18,Texoma,13.58491
1966-02-19,Texoma,1.12126
1966-02-20,Texoma,21.82638
1966-02-21,Texoma,3.37475
1966-02-22,Texoma,0.80813
1966-02-23,Texoma,0.76382
1966-02-24,Texoma,0.76244
1966-02-25,Texoma,0.76106
1966-02-26,Texoma,0.75964
1966-02-27,Texoma,0.7583
1966-02-28,Texoma,0.75695
1966-03-01,Texoma,0.76091
1966-03-02,Texoma,0.78602
1966-03-03,Texoma,0.7532
1966-03-04,Texoma,0.75187
1966-03-05,Texoma,0.75015
1966-03-06,Texoma,0.74878
1966-03-07,Texoma,0.74746
1966-03-08,Texoma,0.74625
1966-03-09,Texoma,0.74479
1966-03-10,Texoma,0.74346
1966-03-11,Texoma,0.74219
1966-03-12,Texoma,0.74086
1966-03-13,Texoma,0.73951
1966-03-14,Texoma,0.76966
1966-03-15,Texoma,1.32369
1966-03-16,Texoma,0.73609
1966-03-17,Texoma,0.73429
1966-03-18,Texoma,0.73301
1966-03-19,Texoma,0.73175
1966-03-20,Texoma,0.73047
1966-03-21,Texoma,0.7292
1966-03-22,Texoma,0.72788
1966-03-23,Texoma,0.72705
1966-03-24,Texoma,0.72543
1966-03-25,Texoma,0.73375
1966-03-26,Texoma,9.8314
1966-03-27,Texoma,0.76538
1966-03-28,Texoma,0.72282
1966-03-29,Texoma,18.17065
1966-03-30,Texoma,0.76875
1966-03-31,Texoma,0.71671
1966-04-01,Texoma,0.71575
1966-04-02,Texoma,0.71593
1966-04-03,Texoma,2.88657
1966-04-04,Texoma,0.72334
1966-04-05,Texoma,0.71845
1966-04-06,Texoma,0.70945
1966-04-07,Texoma,0.70851
1966-04-08,Texoma,2.87492
1966-04-09,Texoma,2.89847
1966-04-10,Texoma,0.71754
1966-04-11,Texoma,0.70514
1966-04-12,Texoma,0.70305
1966-04-13,Texoma,0.70121
1966-04-14,Texoma,0.78684
1966-04-15,Texoma,0.73182
1966-04-16,Texoma,7.23896
1966-04-17,Texoma,0.69728
1966-04-18,Texoma,0.7026
1966-04-19,Texoma,3.09155
1966-04-20,Texoma,9.98483
1966-04-21,Texoma,0.6921
1966-04-22,Texoma,0.70174
1966-04-23,Texoma,0.68984
1966-04-24,Texoma,0.68876
1966-04-25,Texoma,0.68771
1966-04-26,Texoma,0.69583
1966-04-27,Texoma,0.69348
