date,reservoir,flow
1966-01-01,Twin Oaks,0.0251
1966-01-02,Twin Oaks,0.0251
1966-01-03,Twin Oaks,0.0251
1966-01-04,Twin Oaks,0.025
1966-01-05,Twin Oaks,0.025
1966-01-06,Twin Oaks,0.025
1966-01-07,Twin Oaks,0.025
1966-01-08,Twin Oaks,0.0249
1966-01-09,Twin Oaks,0.0249
1966-01-10,Twin Oaks,0.0249
1966-01-11,Twin Oaks,0.0249
1966-01-12,Twin Oaks,0.0248
1966-01-13,Twin Oaks,0.0248
1966-01-14,Twin Oaks,0.0271
1966-01-15,Twin Oaks,0.0248
1966-01-16,Twin Oaks,0.0264
1966-01-17,Twin Oaks,0.025
1966-01-18,Twin Oaks,0.0258
1966-01-19,Twin Oaks,0.0251
1966-01-20,Twin Oaks,0.0247
1966-01-21,Twin Oaks,0.0247
1966-01-22,Twin Oaks,0.0247
1966-01-23,Twin Oaks,0.0247
1966-01-24,Twin Oaks,0.0247
1966-01-25,Twin Oaks,0.0266
1966-01-26,Twin Oaks,0.0247
1966-01-27,Twin Oaks,0.0247
1966-01-28,Twin Oaks,0.0247
1966-01-29,Twin Oaks,0.026
1966-01-30,Twin Oaks,0.0247
1966-01-31,Twin Oaks,0.0253
1966-02-01,Twin Oaks,0.025
1966-02-02,Twin Oaks,0.0247
1966-02-03,Twin Oaks,0.0247
1966-02-04,Twin Oaks,0.0247
1966-02-05,Twin Oaks,0.0247
1966-02-06,Twin Oaks,0.0247
1966-02-07,Twin Oaks,0.0249
1966-02-08,Twin Oaks,0.0248
1966-02-09,Twin Oaks,0.0249
1966-02-10,Twin Oaks,0.025
1966-02-11,Twin Oaks,0.0246
1966-02-12,Twin Oaks,0.0246
1966-02-13,Twin Oaks,0.0246
1966-02-14,Twin Oaks,0.0246
1966-02-15,Twin Oaks,0.0248
1966-02-16,Twin Oaks,0.0245
1966-02-17,Twin Oaks,0.0249
1966-02-18,Twin Oaks,0.0248
1966-02-19,Twin Oaks,0.0263
1966-02-20,Twin Oaks,0.0244
1966-02-21,Twin Oaks,0.0245
1966-02-22,Twin Oaks,0.0244
1966-02-23,Twin Oaks,0.0244
1966-02-24,Twin Oaks,0.0244
1966-02-25,Twin Oaks,0.0243
1966-02-26,Twin Oaks,0.0243
1966-02-27,Twin Oaks,0.0243
1966-02-28,Twin Oaks,0.0243
1966-03-01,Twin Oaks,0.0243
1966-03-02,Twin Oaks,0.0242
1966-03-03,Twin Oaks,0.0242
1966-03-04,Twin Oaks,0.0242
1966-03-05,Twin Oaks,0.0242
1966-03-06,Twin Oaks,0.0242
1966-03-07,Twin Oaks,0.0242
1966-03-08,Twin Oaks,0.0241
1966-03-09,Twin Oaks,0.0241
1966-03-10,Twin Oaks,0.0241
1966-03-11,Twin Oaks,0.0241
1966-03-12,Twin Oaks,0.0241
1966-03-13,Twin Oaks,0.024
1966-03-14,Twin Oaks,0.024
1966-03-15,Twin Oaks,0.024
1966-03-16,Twin Oaks,0.024
1966-03-17,Twin Oaks,0.024
1966-03-18,Twin Oaks,0.024
1966-03-19,Twin Oaks,0.0239
1966-03-20,Twin Oaks,0.0239
1966-03-21,Twin Oaks,0.0239
1966-03-22,Twin Oaks,0.0239
1966-03-23,Twin Oaks,0.0239
1966-03-24,Twin Oaks,0.0238
1966-03-25,Twin Oaks,0.0238
1966-03-26,Twin Oaks,0.0238
1966-03-27,Twin Oaks,0.0243
1966-03-28,Twin Oaks,0.0238
1966-03-29,Twin Oaks,0.0238
1966-03-30,Twin Oaks,0.0237
1966-03-31,Twin Oaks,0.0237
1966-04-01,Twin Oaks,0.0237
1966-04-02,Twin Oaks,0.0237
1966-04-03,Twin Oaks,0.0237
1966-04-04,Twin Oaks,0.0236
1966-04-05,Twin Oaks,0.0236
1966-04-06,Twin Oaks,0.0236
1966-04-07,Twin Oaks,0.0236
1966-04-08,Twin Oaks,0.0244
1966-04-09,Twin Oaks,0.0243
1966-04-10,Twin Oaks,0.0235
1966-04-11,Twin Oaks,0.0242
1966-04-12,Twin Oaks,0.0235
1966-04-13,Twin Oaks,0.0235
1966-04-14,Twin Oaks,0.0234
1966-04-15,Twin Oaks,0.0235
1966-04-16,Twin Oaks,0.0244
1966-04-17,Twin Oaks,0.0234
1966-04-18,Twin Oaks,0.0234
1966-04-19,Twin Oaks,0.0234
1966-04-20,Twin Oaks,0.0238
1966-04-21,Twin Oaks,0.0233
1966-04-22,Twin Oaks,0.0233
1966-04-23,Twin Oaks,0.0233
1966-04-24,Twin Oaks,0.0233
1966-04-25,Twin Oaks,0.0233
1966-04-26,Twin Oaks,0.0232
1966-04-27,Twin Oaks,0.0232
1966-04-28,Twin Oaks,0.0244
1966-04-29,Twin Oaks,0.0237
1966-04-30,Twin Oaks,0.0232
1966-05-01,Twin Oaks,0.0233
1966-05-02,Twin Oaks,0.0231
1966-05-03,Twin Oaks,0.0231
1966-05-04,Twin Oaks,0.0231
1966-05-05,Twin Oaks,0.0233
1966-05-06,Twin Oaks,0.0235
1966-05-07,Twin Oaks,0.023
1966-05-08,Twin Oaks,0.023
1966-05-09,Twin Oaks,0.023
1966-05-10,Twin Oaks,0.023
1966-05-11,Twin Oaks,0.0246
1966-05-12,Twin Oaks,0.023
1966-05-13,Twin Oaks,0.0229
1966-05-14,Twin Oaks,0.0244
1966-05-15,Twin Oaks,0.0267
1966-05-16,Twin Oaks,0.0247
1966-05-17,Twin Oaks,0.0229
1966-05-18,Twin Oaks,0.0242
1966-05-19,Twin Oaks,0.024
1966-05-20,Twin Oaks,0.0238
1966-05-21,Twin Oaks,0.023
1966-05-22,Twin Oaks,0.0239
1966-05-23,Twin Oaks,0.0228
1966-05-24,Twin Oaks,0.0228
1966-05-25,Twin Oaks,0.0231
1966-05-26,Twin Oaks,0.0233
1966-05-27,Twin Oaks,0.0229
1966-05-28,Twin Oaks,0.0228
1966-05-29,Twin Oaks,0.0228
1966-05-30,Twin Oaks,0.0228
1966-05-31,Twin Oaks,0.0228
1966-06-01,Twin Oaks,0.0228
1966-06-02,Twin Oaks,0.0228
1966-06-03,Twin Oaks,0.0228
1966-06-04,Twin Oaks,0.0228
1966-06-05,Twin Oaks,0.0229
1966-06-06,Twin Oaks,0.0227
1966-06-07,Twin Oaks,0.0227
1966-06-08,Twin Oaks,0.0227
1966-06-09,Twin Oaks,0.0227
1966-06-10,Twin Oaks,0.023
1966-06-11,Twin Oaks,0.0237
1966-06-12,Twin Oaks,0.0227
1966-06-13,Twin Oaks,0.0226
1966-06-14,Twin Oaks,0.0226
1966-06-15,Twin Oaks,0.0226
1966-06-16,Twin Oaks,0.0226
1966-06-17,Twin Oaks,0.0226
1966-06-18,Twin Oaks,0.0226
1966-06-19,Twin Oaks,0.0226
1966-06-20,Twin Oaks,0.0225
1966-06-21,Twin Oaks,0.0225
1966-06-22,Twin Oaks,0.0225
1966-06-23,Twin Oaks,0.0225
1966-06-24,Twin Oaks,0.0225
1966-06-25,Twin Oaks,0.0225
