date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1992-01-01,1.76384,0.02372,0.02332,0,0.06275,0.00389,8.7e-4,0.33723,0.79285,0.00447,0.01297,2.81833,0.00322,0.3057,0.02454,0.00268,0.07055,0.03826,0.46296,0.36074,4.14646,0.09607,0.00237,0.03014,0.6268,0.16691,0.24002,9.8e-4,0.10739,0.76494,1.3523,3.60903,0.0018600000000000001,0.00328,2e-5,0.3561
1992-01-02,1.84413,0.02369,0.02319,0,0.06215,0.00387,8.7e-4,0.33662,0.79011,0.00446,0.01296,2.87921,0.00319,0.30494,0.02453,0.00229,0.07048,0.03808,0.46223,0.36023,4.13976,0.09599,0.00236,0.03008,0.62541,0.1667,0.23982,9.6e-4,0.10718,0.76159,1.34912,3.6022,0.00185,0.00324,2e-5,0.35508
1992-01-03,1.76157,0.02376,0.02304,0.00106,0.06209,0.00384,0.00122,0.3364,0.78807,0.00444,0.01305,2.78254,0.00316,0.30422,0.02463,0.00413,0.07062,0.03789,0.46581,0.36003,4.2305,0.09634,0.00235,0.03023,0.63444,0.16655,0.2518,0.00102,0.10735,0.87172,1.34685,3.60485,0.00209,0.00349,1.2e-4,0.35497
1992-01-04,1.77123,0.02435,0.02292,0.00459,0.0628,0.00468,0.00387,0.33764,0.78786,0.00443,0.01296,2.78142,0.00313,0.30453,0.03001,0.99289,0.07152,0.03769,0.57952,0.36185,5.37795,0.09833,0.00248,0.03647,0.80262,0.16635,0.35234,0.00808,0.10807,1.09044,1.35521,4.28328,0.00601,0.00465,5.4e-4,0.35752
1992-01-05,1.79011,0.02363,0.02279,5.1e-4,0.06093,0.00381,0.01482,0.33573,0.7831,0.00441,0.01295,2.79324,0.0031,0.30276,0.02452,0.24892,0.0703,0.03752,0.46102,0.35957,6.57694,0.09576,0.00234,0.03017,0.62401,0.16608,0.24815,9.6e-4,0.2396,1.22298,1.33952,6.06476,0.00212,0.00472,2.9e-4,0.35229
1992-01-06,1.70465,0.0236,0.02277,0,0.05981,0.00646,8.5e-4,0.33427,0.77941,0.0044,0.01451,2.67726,0.00309,0.30346,0.02448,0.00281,0.07021,0.03734,0.4595,0.3582,4.12068,0.09563,0.00233,0.0303,0.62021,0.16661,0.2391,9.6e-4,0.10666,0.75971,1.36472,3.76158,0.00184,0.00308,2e-5,0.35262
1992-01-07,1.73321,0.02401,0.02252,1.5e-4,0.06147,0.0042,0.00943,0.33564,0.77965,0.0044,0.01317,2.69658,0.00304,0.30452,0.02493,2.05108,0.07032,0.03716,0.47039,0.35775,4.77936,0.09602,0.00259,0.03012,0.63572,0.16584,0.23986,0.00534,0.12719,1.3654,1.33399,5.7845,0.00184,0.00304,2e-5,0.35495
1992-01-08,1.8973,0.02356,0.02239,0,0.05866,0.00375,8.3e-4,0.33311,0.77419,0.00438,0.01294,2.83842,0.00301,0.30061,0.02444,0.00245,0.07007,0.03698,0.45788,0.35719,4.10075,0.09546,0.0023,0.029760000000000002,0.61734,0.16548,0.23872,9.6e-4,0.10598,0.75881,1.33011,3.56107,0.00183,0.00301,2e-5,0.34929
1992-01-09,1.79011,0.02353,0.02226,0,0.05811,0.00373,8.3e-4,0.33252,0.77164,0.00437,0.01294,2.71515,0.00298,0.29994,0.02442,0.00243,0.07,0.03681,0.45717,0.35671,4.09435,0.09537,0.00229,0.02971,0.61604,0.16527,0.23854,9.6e-4,0.10578,0.75837,1.32702,3.55427,0.00183,0.00298,2e-5,0.3484
1992-01-10,1.80924,0.02351,0.02214,0,0.05757,0.0037200000000000002,8.2e-4,0.33197,0.76909,0.00436,0.01293,2.71863,0.00296,0.29924,0.0244,0.0024,0.06994,0.03663,0.45646,0.35621,4.08808,0.09529,0.00228,0.02965,0.61474,0.16508,0.23836,9.5e-4,0.10558,0.75792,1.32398,3.54753,0.00182,0.00295,2e-5,0.34745
1992-01-11,1.97644,0.02348,0.02203,0,0.05702,0.0037,8.2e-4,0.33138,0.76657,0.00434,0.01293,2.87028,0.00293,0.29859,0.02439,0.00236,0.06987,0.03646,0.45575,0.35572,4.08177,0.0952,0.00227,0.0296,0.61346,0.16487,0.23819,9.5e-4,0.10539,0.75748,1.3209,3.5406,0.00182,0.00292,2e-5,0.34657
1992-01-12,1.951,0.02346,0.0219,0,0.05648,0.00368,8.1e-4,0.3308,0.76407,0.00433,0.01292,2.82963,0.0029,0.2979,0.02437,0.00232,0.0698,0.03629,0.45505,0.35523,4.07677,0.09511,0.00226,0.02955,0.61219,0.16466,0.238,9.5e-4,0.10521,0.75703,1.31784,3.54428,0.00182,0.00289,2e-5,0.34565
1992-01-13,1.99246,0.02344,0.02178,0,0.05596,0.00366,8.1e-4,0.33024,0.7616,0.00432,0.01292,2.85611,0.00288,0.29723,0.02435,0.00228,0.06974,0.03612,0.45436,0.35474,4.06924,0.09503,0.00225,0.02949,0.61092,0.16447,0.23781,9.5e-4,0.10499,0.75657,1.31482,3.52716,0.00181,0.00287,2e-5,0.34474
1992-01-14,1.99968,0.02342,0.02166,0,0.05546,0.00364,8e-4,0.32969,0.75912,0.00431,0.01292,2.84895,0.00285,0.29657,0.02434,0.00224,0.06967,0.03596,0.45367,0.35426,4.06312,0.09494,0.00224,0.02944,0.60967,0.16427,0.23763,9.5e-4,0.1048,0.75612,1.31185,3.52014,0.00181,0.00284,2e-5,0.34385
1992-01-15,1.8228,0.02339,0.02155,0,0.05495,0.00363,8e-4,0.32912,0.75668,0.00429,0.01291,2.65836,0.00283,0.29592,0.02432,0.00219,0.0696,0.03581,0.45298,0.35377,4.05697,0.09485,0.00223,0.02939,0.60842,0.16406,0.23746,9.5e-4,0.1046,0.75567,1.30918,3.51549,0.00181,0.00282,2e-5,0.34296
