date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2022-01-01,4.2803,0.08417,0.01249,0.78179,1.9192,0.1502,0.42011,2.63124,2.02127,0.00591,0.00424,5.74103,0.00226,0.55517,0.06551,3.83679,0.30016,0.02618,1.17207,5.46505,52.13749,0.4,0.03932,0.04435,1.78684,0.15064,8.76806,0.02473,0.65406,6.70615,1.09734,15.95205,0.04648,0.02556,0.02164,1.32702
2022-01-02,4.10874,0.04131,0.01252,0.38557,0.45556,0.02052,0.98232,0.74234,1.1331,0.006,0.00165,5.93319,0.00199,0.37603,0.06461,54.53536,0.1575,0.02628,0.60099,5.36517,80.18827,0.21196,0.00586,0.02787,0.92581,0.14031,4.86088,0.58045,1.13099,47.63661,1.06356,36.39563,0.03153,0.02828,0.03212,0.74716
2022-01-03,4.77295,0.02525,0.01255,0.10349,0.31842,0.00935,0.11733,0.90287,0.57417,0.00607,0.00169,5.48085,0.00197,0.35665,0.05993,74.96614,0.08462,0.02639,0.47065,3.03616,32.84124,0.11732,0.0041,0.029760000000000002,0.6774,0.13879,2.1564,0.06088,0.82387,22.0296,1.16526,49.4508,0.01843,0.00187,0.00949,0.42007
2022-01-04,3.56822,0.02435,0.01258,6.6e-4,0.91359,0.00934,0.01057,4.65179,0.33966,0.00621,0.00166,4.16683,0.00196,0.55533,0.06504,16.91972,0.06628,0.0265,0.4224,1.34477,9.82606,0.09062,0.02913,0.03009,0.58849,0.13866,0.54621,0.13138,0.23052,8.3018,1.31455,13.67965,0.00697,0.00182,2.3e-4,0.66865
2022-01-05,3.1479,0.02436,0.03313,2.2e-4,1.02787,0.1191,0.00584,2.21627,0.26503,0.00656,0.00165,3.73753,0.00226,1.26961,0.07068,1.86784,0.06636,0.19659,0.42425,0.50842,5.10598,0.09072,0.06724,0.02837,0.59232,0.13854,0.32004,0.00107,0.12864,0.43841,2.40427,5.72497,0.00323,0.00181,8e-5,1.37871
2022-01-06,3.85025,0.03664,0.2548,0.00304,1.24251,1.12851,0.0052,1.46433,0.26472,0.00735,0.00322,4.43608,0.02404,3.35852,0.07611,1.56973,0.06717,0.54208,0.42982,1.00409,7.24982,0.09156,0.13262,0.02956,0.60776,0.16393,0.35728,0.00106,0.11798,0.43223,9.82738,6.13944,0.00495,0.00181,8e-5,3.59263
2022-01-07,3.66855,0.10217,0.50614,0.32141,1.37234,1.83055,0.0052,0.78935,0.26442,0.00965,0.01621,4.25203,0.04892,6.75773,0.11094,1.34458,0.23523,1.3202,1.33307,2.14195,17.75528,0.31475,0.14642,0.06381,1.87797,0.36114,2.7148,0.00106,0.18868,0.43231,22.89852,7.71629,0.0124,0.0018,8e-5,7.51925
2022-01-08,3.64291,0.11862,0.85405,0.45111,0.86458,2.00365,0.00515,0.50822,0.26408,0.00693,0.04235,4.22174,0.08216,9.735,0.11628,1.15951,0.27735,1.9587,1.44484,1.2716,21.27051,0.37025,0.06974,0.0839,2.08676,0.4944,4.05508,0.00106,0.21385,0.43236,30.20488,8.9294,0.00299,0.0018,8e-5,10.7626
2022-01-09,4.21788,0.18435000000000001,0.40602,0.78482,0.26967,1.2325,0.00508,0.48026,0.26372,0.00652,0.14741,4.7901300000000004,0.06291,4.45511,0.28117,1.00251,0.44217,0.22815,4.81608,0.3788,32.72149,0.59823,0.00823,0.13516,6.39399,1.33034,5.69422,0.00106,0.38047,0.43239,59.07296,13.80487,0.00214,0.0018,8e-5,5.59838
2022-01-10,5.57091,0.02447,0.01289,0.00873,0.06643,0.00398,0.00499,0.46979,0.26335,0.00662,0.00554,6.13624,0.00271,0.37561,0.09723,0.87021,0.06763,0.02753,0.45157,0.35585,4.49304,0.09238,0.00414,0.04729,0.63514,0.13792,0.42341,0.00106,0.13455,0.4324,3.82976,9.56375,0.00217,0.0018,8e-5,0.42267
2022-01-11,3.94869,0.02457,0.013,0,0.07263,0.00399,0.0049,0.46821,0.26297,0.00669,0.00165,4.50733,0.00312,0.35843,0.10885,0.76037,0.06831,0.02794,0.44242,0.3572,4.13187,0.09339,0.00419,0.03432,0.62731,0.13787,0.34422,0.00106,0.06716,0.43239,1.06259,6.82432,0.00221,0.0018,8e-5,0.41188
2022-01-12,3.53051,0.02466,0.0131,0,0.07734,0.00401,0.0048,0.46803,0.26257,0.00674,0.00173,4.09528,0.00335,0.40434,0.11561,0.67063,0.06891,0.02833,0.44827,0.35834,4.1941,0.09432,0.00419,0.03615,0.63765,0.13781,0.35068,0.00106,0.06866,0.43236,1.08196,6.5929,0.00224,0.0018,8e-5,0.46165
2022-01-13,6.18282,0.02511,0.01407,0.00246,0.71085,0.02547,0.25072,1.79391,1.77286,0.00774,0.00165,9.37641,0.00452,1.90927,0.11855,15.69965,0.06988,0.3711,0.4633,0.4384,16.04506,0.09592,0.00865,0.03747,0.66051,0.1392,0.43491,0.03967,0.22783,13.89128,3.22801,18.94751,0.00301,0.0224,0.01211,2.00954
2022-01-14,3.12491,0.03739,0.0346,0.10804,1.03727,0.05801,0.36183,1.68156,1.10517,0.0077,0.00165,3.9594,0.00618,1.69289,0.12273,59.57231,0.09816,0.11236,0.48695,3.1446,40.74756,0.1299,0.04865,0.03974,0.72075,0.13957,2.43018,0.0859,0.46276,17.59386,1.47541,37.27899,0.01298,0.01561,0.01974,2.03933
